Comparison,A Players,B Players,A Active %,B Active %,A KP,B KP,A Deaths,B Deaths,A DKP,B DKP,A T4 Kills,B T4 Kills,A T5 Kills,B T5 Kills,A >50M Players,B >50M Players,A >50M Active,B >50M Active,A >50M Active %,B >50M Active %,A >50M KP,B >50M KP,A >50M Deaths,B >50M Deaths,A >50M T5 Kills,B >50M T5 Kills,A >50M DKP,B >50M DKP
Fire vs Water,1200,1095,56.92,50.14,14502177964,15987150156,115061543,97543050,10414386630,10667181125,622853084,888950653,409967052,349799824,133,174,122,163,91.73,93.68,8044953955,11597978777,26251284,28960429,235173885,261333277,5448787235,7373373520
Earth vs Wind,1012,1142,61.46,53.94,13109306128,14764006397,91171922,110587646,8939212700,9957967735,701408151,850143592,301363515,306758221,144,108,136,95,94.44,87.96,7966462338,7755023830,23600721,20002601,195390793,170974261,5186330485,4910278120
