Rank,ID,Name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
55,210142805,Olly25,21.11M,324.64K,26.95M,2.06M,2.81M,374.29K,39.73M
56,210376336,24 X҉ Serelis,21.06M,463.78K,26.5M,3.54M,7.93M,1.47M,110.37M
57,209838770,24 X҉  ReDemon,20.37M,383.06K,40.33M,3.06M,1.98M,753.4K,37.33M
58,208195504,ᴿᵂ Zytue,18.89M,1.66M,30.14M,2.72M,1.92M,313.68K,28.58M
59,205078912,24 X҉ ACE,18.83M,13.21M,46.78M,4.48M,14.76M,1.6M,211.84M
60,208680184,Kutilkatak,18.77M,186.35K,27.5M,4.11M,1.88M,623.79K,31.47M
61,203945925,24 X҉ FramAce,18.36M,18.74M,39.71M,5.21M,17.18M,2.49M,246.21M
62,209043926,TOMBOYY,17.93M,1.55M,36.08M,5.55M,6.75M,1.83M,107.9M
63,209848443,ᴿᵂPalo4keee,17.45M,1.34M,27.53M,0,9.56M,84.25K,107.61M
64,210066323,Dâu tây cny,17.06M,1.12M,30.29M,6.99M,4.87M,324.74K,71.6M
65,210438552,24 X҉ PPPhúc,16.87M,2.06M,27.78M,4.2M,3.85M,1.25M,79.84M
66,210531865,Cyntra City,16.86M,296.52K,26.05M,2.57M,474.81K,173.1K,9.99M
67,207012251,MeowMeowMeowww,16.79M,96.88K,38.09M,3.21M,2.25M,374.65K,30.8M
68,210412615,methusala,16.36M,185.17K,31.78M,5.29M,4.16M,845.44K,58.85M
69,210434155,Secte,16.11M,18.65K,31.38M,4.03M,1.93M,76.19K,21.47M
70,209320692,ᴱᶻLelya Fm,14.61M,1.43M,29.3M,0,2.89M,200.77K,39.92M
71,210372799,24 CHEZCKO,14.48M,1.52M,29.38M,2.44M,1.53M,54.92K,21.7M
72,209743364,Secteryum,13.76M,1.54K,28.74M,3.52M,706.92K,68.26K,8.5M
73,209819561,MEDS21,13.72M,2.1M,30.77M,3.59M,8.76M,799.34K,114.22M
74,207933613,24 X҉ Sawakita,13.65M,1.03M,29.82M,6.52M,4.34M,1.08M,68.4M
75,207428704,ᶫʳБьёрн,13.61M,7.7M,31.69M,3.72M,12.96M,342.57K,139.41M
76,209788785,24 X҉ NVTboi,13.57M,7.61M,35.37M,2.55M,8.24M,1.19M,126.37M
77,209302826,1Vorobey1,13.57M,438.15K,41.28M,5.29M,4.19M,759.67K,58.3M
78,210293112,24 X҉ Prince,13.51M,12.87M,42.36M,4.2M,13.16M,699.22K,171.22M
79,209838834,Teung,12.9M,204.3K,31.01M,4.4M,2.82M,471.97K,38.55M
80,209323093,THE END rog,12.14M,2.86M,25M,877.72K,2.89M,691.65K,50.78M
81,208202264,KrazyBus,12.02M,883.48K,35.47M,3.06M,7.61M,913.1K,111.39M
82,210834790,Huyメ,11.89M,2.77M,27.08M,4.22M,2.72M,518.67K,43.85M
83,207786640,AMADIOHA,11.62M,2.37M,28.22M,2.1M,9.17M,411.79K,115.42M
84,210354561,ᴸnichii,10.95M,4.03M,28.06M,4.01M,10.12M,456.72K,117.81M
85,210213330,Ita city,10.87M,195.45K,32.22M,3.57M,643.47K,107.36K,9.69M
