KP Rank,Governor ID,Governor Name,Power Delta,Troop Power Delta,Deaths Delta,Kill Points Delta,T1 Kills Delta,T2 Kills Delta,T3 Kills Delta,T4 Kills Delta,T5 Kills Delta,DKP Delta,Contribution Score
40,204674520,CG Nga 乄 Pea,2105263.0,1151764.0,0.0,8847750.0,0.0,0.0,0.0,165599.0,359588.0,6221815.0,3.005797101449275
41,207682276,清君側,-422734.0,-579410.0,0.0,8506461.0,2006.0,0.0,0.0,519196.0,165705.0,5081555.0,2.942028985507246
42,207428704,ᶫʳБьёрн,466805.0,-289327.0,0.0,8381980.0,0.0,0.0,0.0,766464.0,35867.0,4370325.0,2.788405797101449
43,209043926,TOMBOYY,710890.0,391164.0,54650.0,7688268.0,178190.0,0.0,0.0,304659.0,230302.0,5524325.0,3.431884057971015
44,210399713,Izzy the Great,2258429.0,508625.0,32783.0,7445616.0,53829.0,0.0,0.0,300911.0,221287.0,5151690.0,3.388405797101449
45,210376336,24 X҉ Serelis,-164536.0,-334056.0,265678.0,7424584.0,18.0,0.0,0.0,327474.0,207492.0,7406530.0,3.5536231884057967
46,209323093,THE END rog,-568059.0,-884144.0,0.0,6241678.0,20.0,0.0,1.0,291559.0,166304.0,3952355.0,2.9101449275362317
47,210066323,Dâu tây cny,736687.0,398716.0,0.0,6052760.0,0.0,0.0,303250.0,463194.0,10391.0,2471835.0,2.6521739130434785
48,206969476,24 X҉ Xatarê,639172.0,82688.0,245155.0,6020279.0,396.0,5049.0,23.0,558097.0,21452.0,5563815.0,3.336231884057971
49,209527597,24 X҉ Klee,1829696.0,758700.0,0.0,5975690.0,0.0,0.0,0.0,179141.0,209214.0,4033915.0,2.9101449275362317
50,209880966,24 X Blaze,3400200.0,558252.0,0.0,5596330.0,0.0,0.0,0.0,44669.0,257482.0,4085575.0,2.9246376811594206
51,210392260,Governador210392260,-3234669.0,-3541012.0,1167288.0,5492704.0,4746.0,28289.0,385699.0,389238.0,0.0,13619070.0,3.082608695652174
52,210445136,Xàmlông,507832.0,38928.0,0.0,5306680.0,0.0,0.0,0.0,307196.0,111736.0,3212020.0,2.8492753623188407
53,207774760,KhôiLangThang,-327827.0,-650092.0,157443.0,4876218.0,4460.0,205.0,44.0,279434.0,104020.0,4531900.0,3.417391304347826
54,209756294,ᴰᴷREDER2502,1168460.0,22661.0,81247.0,4789490.0,0.0,0.0,0.0,478949.0,0.0,3207215.0,2.815942028985507
55,209756441,ᴰᴷllama2502,413515.0,-7249.0,10231.0,4618970.0,7623.0,145058.0,0.0,432733.0,0.0,2265975.0,2.6507246376811597
56,210441175,gaberner,-3745601.0,-4501540.0,1379492.0,4471207.0,29263.0,1822.0,865.0,200653.0,122586.0,16636975.0,3.640579710144927
57,210834790,Huyメ,1089692.0,303304.0,45222.0,4242597.0,382154.0,24528.0,7075.0,131661.0,138610.0,3189675.0,3.3072463768115945
58,209302826,1Vorobey1,1137184.0,643704.0,0.0,4201580.0,0.0,0.0,0.0,145860.0,137149.0,2786535.0,2.8231884057971013
59,207279889,24 X҉ DUMBLDOR,3425496.0,1747640.0,0.0,3846390.0,0.0,0.0,0.0,237065.0,73787.0,2292130.0,2.739130434782609
60,207786640,AMADIOHA,-66447.0,-114960.0,24602.0,3815657.0,2588.0,0.0,0.0,252318.0,64598.0,2476580.0,3.1536231884057973
61,208973298,24 X҉ AndiUmar,113479.0,58179.0,67703.0,3764981.0,4153.0,0.0,0.0,92313.0,142051.0,3269360.0,3.344927536231884
62,210438552,24 X҉ PPPhúc,-840220.0,-1075328.0,209490.0,3742232.0,0.0,0.0,126008.0,167218.0,78301.0,4105505.0,3.371014492753623
63,208585387,Топoль,1281430.0,362608.0,59460.0,3732227.0,760455.0,1831.0,61.0,273071.0,42276.0,2594095.0,3.1739130434782608
64,210049658,24 X҉ Lionhart,2012217.0,796272.0,0.0,3719390.0,0.0,0.0,0.0,46701.0,162619.0,2672790.0,2.8202898550724638
65,210354561,ᴸnichii,1063994.0,369408.0,32448.0,3624561.0,2.0,0.0,0.0,311540.0,25458.0,2264050.0,3.063768115942029
66,205078912,24 X҉ Bin,215464.0,220264.0,12289.0,3614010.0,1.0,0.0,0.0,136877.0,112262.0,2491205.0,3.1681159420289853
67,209838770,24 X҉  ReDemon,645812.0,-148096.0,302125.0,3464820.0,0.0,0.0,0.0,45894.0,150294.0,5505130.0,3.455072463768116
68,210166542,Abcdefin,851763.0,585428.0,0.0,3419834.0,0.0,0.0,87596.0,306223.0,361.0,1536530.0,2.5130434782608697
69,207122584,HOY PINOY FARM,-2794401.0,-2941438.0,914506.0,3412260.0,0.0,0.0,0.0,244842.0,48192.0,11092150.0,3.466666666666667
70,210346486,todays 12,1261112.0,1173112.0,0.0,3403920.0,0.0,0.0,0.0,64690.0,137851.0,2391215.0,2.7710144927536233
71,210142805,Olly25,-2016937.0,-2310950.0,871602.0,3391591.0,27535.0,6.0,3.0,139878.0,99364.0,10905870.0,3.5130434782608697
72,210531865,Cyntra City,515988.0,405288.0,3704.0,3316528.0,2240.0,0.0,0.0,181234.0,75187.0,2071015.0,3.0608695652173914
73,209838834,Teung,-1476716.0,-1619734.0,652990.0,3222240.0,2.0,0.0,0.0,83478.0,119373.0,8737885.0,3.4898550724637682
74,209819561,MEDS21,2115813.0,-283192.0,85272.0,3198439.0,1163.0,0.0,164.0,162057.0,78849.0,2845740.0,3.246376811594203
75,209616823,ᴹᴰXrUsT,858081.0,32696.0,85851.0,3061320.0,0.0,0.0,0.0,236272.0,34930.0,2563820.0,3.1478260869565218
76,208580783,24X҉Сиэль,-633207.0,-1089593.0,400627.0,3018269.0,413.0,0.0,74.0,136033.0,82878.0,5929605.0,3.4000000000000004
77,209345131,ᴰᴷCamaron,102305.0,-201408.0,0.0,2976628.0,0.0,0.0,344072.0,147458.0,6288.0,831610.0,2.4579710144927533
78,218982356,Lamnesik,1699083.0,328980.0,14954.0,2896436.0,6130.0,0.0,0.0,137877.0,75822.0,1976255.0,3.0724637681159424
79,208195504,ᴿᵂ Zytue,-75383.0,-213768.0,99348.0,2847277.0,15584.0,0.0,0.0,100524.0,91946.0,2875290.0,3.2550724637681157
80,210293112,24 X҉ Prince,-19282.0,-117276.0,28889.0,2816847.0,301326.0,16790.0,9303.0,169501.0,49539.0,1879480.0,3.057971014492754
81,207317722,iryshka,2687276.0,630368.0,22558.0,2665710.0,0.0,0.0,0.0,81037.0,92767.0,2022270.0,3.0956521739130434
82,210422456,Mảngo,-90753.0,-748913.0,474321.0,2546940.0,50.0,0.0,0.0,178055.0,38319.0,6208270.0,3.3115942028985508
83,205864876,BATYA,1487802.0,1207266.0,1591.0,2360270.0,0.0,0.0,0.0,124311.0,55858.0,1475335.0,2.9768115942028985
