rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
63,207012251,MeowMeowMeowww,16.79M,30.80M,38.09M,3.21M,2.25M,374.65K,1.81M
64,209043926,TOMBOYY,16.67M,106.22M,35.10M,4.57M,6.71M,1.76M,2.31M
65,210434155,Secte,16.11M,21.47M,31.37M,4.03M,1.93M,76.19K,1.57M
66,210412615,methusala,13.79M,56.03M,31.08M,4.65M,4.06M,755.25K,1.20M
67,209743364,Secteryum,13.76M,8.50M,28.74M,3.52M,706.92K,68.26K,1.35M
68,210293112,24 X҉ Prince,13.51M,171.22M,42.42M,4.26M,13.16M,699.22K,1.58M
69,209302826,1Vorobey1,13.22M,57.81M,39.81M,3.82M,4.18M,737.63K,2.13M
70,207428704,ᶫʳБьёрн,13.18M,139.05M,31.35M,3.42M,12.93M,339.12K,1.92M
71,209838834,Teung,12.90M,38.55M,31.00M,4.38M,2.82M,471.97K,1.84M
72,210438552,24 X҉ PPPhúc,12.57M,74.03M,27.51M,3.93M,3.67M,1.05M,1.86M
73,207933613,24 X҉ Sawakita,12.33M,66.82M,29.64M,6.35M,4.30M,1.02M,1.22M
74,209320692,ᴱᶻLelya Fm,12.15M,39.51M,30.17M,869.32K,2.88M,184.25K,2.07M
75,209788785,24 X҉ NVTboi,11.91M,124.13M,36.30M,3.52M,8.17M,1.11M,2.94M
76,210834790,Huyメ,11.74M,43.60M,27.05M,4.20M,2.71M,512.88K,2.04M
77,209323093,THE END rog,11.70M,50.20M,25.98M,1.86M,2.84M,690.80K,2.04M
78,207786640,AMADIOHA,11.62M,115.42M,28.22M,2.10M,9.17M,411.79K,3.06M
79,210066323,Dâu tây cny,11.20M,65.01M,30.98M,7.69M,4.52M,171.84K,573.92K
80,210213330,Ita city,10.87M,9.69M,32.19M,3.55M,643.47K,107.36K,2.09M
81,209880966,24 X Blaze,10.51M,88.09M,51.83M,8.69M,5.75M,1.43M,1.88M
82,207093369,24 X҉ FangYuan,10.43M,279.34M,43.60M,8.48M,13.58M,7.03M,1.69M
