Metric,Value
TOTAL PLAYERS,289
DKP < 1M,210

Rank,Governor ID,Name,End Power,End Troop Power,T4N,T4 Kills,T5 Kills,Deads,KP,DKP,Active
249,210406738,24 X҉ Turbo01,20.23M,5.68M,1.42M,0,0,0,0,0,False
250,210086913,はるのもぐら,19.98M,4.69M,1.17M,0,0,0,0,0,False
251,210399406,beastinc9ming,19.72M,3.33M,833.28K,0,0,0,0,0,False
252,209996542,ceu A team,19.53M,1.67M,417.86K,0,0,0,0,0,False
253,210002656,Oswaldini,19.35M,1.75M,438.26K,0,0,0,0,0,False
254,210377379,Arhitet lll SL,19.10M,683.12K,170.78K,0,0,0,0,0,False
255,209351255,López1,18.64M,4.42M,1.11M,0,0,0,0,0,False
256,210410336,MAGNUS ALEX,18.63M,2.03M,508.10K,0,0,0,0,0,False
257,207122584,HOY PINOY FARM,18.54M,54.35K,13.59K,0,0,0,0,0,False
258,209858345,Governor209858345,18.40M,1.60M,400.98K,0,0,0,0,0,False
259,210740875,BlythE,18.39M,1.36M,340.16K,0,0,0,0,0,False
260,210864248,EvilDoggy,18.36M,1.68M,420.86K,0,0,0,0,0,False
261,210210212,Шамс 7х7,18.30M,3.76M,939.28K,0,0,0,0,0,False
262,209449139,ᶜᵍDextrixs,18.26M,1.25M,312.21K,0,0,0,0,0,False
263,210387027,Zexion12,18.24M,4.52M,1.13M,0,0,0,0,0,False
264,210161055,LwPungarabatito,18.02M,2.38M,595.69K,0,0,0,0,0,False
265,208591011,24 X҉ hetcuu,17.91M,1.19M,298.05K,0,0,0,0,0,False
266,209905253,OsmanGazi001,17.88M,3.25M,811.96K,0,0,0,0,0,False
267,210886935,Slayеr,17.80M,3.78M,945.58K,0,0,0,0,0,False
268,210011584,martzyy,17.75M,2.57M,643.33K,0,0,0,0,0,False
269,209366827,NanuCosta,17.58M,2.48M,620.97K,0,0,0,0,0,False
270,210405263,GhostLider69,17.14M,933.38K,233.34K,0,0,0,0,0,False
271,88840313,Sir lickmapalls,17.12M,590.48K,147.62K,0,0,0,0,0,False
272,210379181,Riri94,16.93M,0,0,0,0,0,0,0,False
273,210039896,Menezobrrr,16.84M,1.36M,340.36K,0,0,0,0,0,False
274,208635818,SHAQapprentice,16.59M,22.80K,5.70K,0,0,0,0,0,False
275,210392260,Governador210392260,16.55M,2.24M,560.78K,0,0,0,0,0,False
276,209343632,Shinjimae,16.41M,1.41M,353.43K,0,0,0,0,0,False
277,210426322,Thức zin,16.12M,1.54M,384.37K,0,0,0,0,0,False
278,209446165,Dungori famr,16.04M,301.75K,75.44K,0,0,0,0,0,False
279,210401179,The HitMan,15.97M,1.42M,354.68K,0,0,0,0,0,False
280,210858605,PINEAPPLES,15.89M,3.02M,755.82K,0,0,0,0,0,False
281,210735353,乂AÑÜBÏS2,15.83M,1.81M,452.17K,0,0,0,0,0,False
282,210398054,aerolaito,14.93M,7.11K,1.78K,0,0,0,0,0,False
