player id,name,power,kill point,rank,rss assist,clan name
210142805,Olly25,28108872,25285855,R1,0,LW
210532839,Beelphegor,28065956,5138216,R1,0,LW
209657050,EevisM,27745680,8820111,R3,0,LW
210539282,Scriptor,27630158,4482971,R1,0,LW
210393177,tao nè vn,27587518,7718206,R1,0,LW
210373350,ero3,27430185,14968799,R3,0,LW
210394588,24 X҉ Tường,26778943,34181000,R3,0,LW
209686553,ATLAS007,26621071,3561393,R1,0,LW
208821197,ᴰᴾJoe Black,26549299,23563710,R3,0,LW
210372642,NTThaSN,26374869,31690743,R1,0,LW
210533310,Vates,25930604,4667251,R3,0,LW
210564758,lord ismail,25768579,20189615,R1,0,LW
204517431,ThienDi,25643805,61763859,R1,0,LW
210394486,sencerbatur,25586165,4071449,R1,0,LW
209743364,Secteryum,25577464,5078712,R1,0,LW
210740345,Basiliscus,25342867,3962325,R1,0,LW
210376950,NightStarr,25216374,11834354,R1,0,LW
207069617,Paulo21,25138189,6172302,R1,0,LW
211250823,ᴬᵈBethoven,25045418,487028,R1,0,LW
210354561,ᴸnichii,25043135,85935568,R1,0,LW
210437015,Almaspavlodar,24959408,4082873,R1,0,LW
210441175,gaberner,24814472,6281400,R3,0,LW
210622572,Radamanthys,24395391,4949217,R1,0,LW
209806538,ANNY20,23680340,2328674,R1,0,LW
211297033,ᴿᵂ DuongBeu,23613298,2911241,R1,0,LW
209821264,ᴴᴰMIKOTO,23576135,13390640,R1,0,LW
210189446,Angry R bear,23464904,1807384,R1,0,LW
211856683,HOTBEAST FARM,23217229,12512648,R2,0,LW
211557716,ᴰᴾCyanide,23179050,40423549,R1,0,LW
207122584,HOY PINOY FARM,22882344,10365865,R1,0,LW
210229272,Kandamiala,22632742,6287928,R3,0,LW
210084771,Bshusttt,22562267,12020244,R1,0,LW
209449139,ᶜᵍDextrixs,22432251,12048498,R2,0,LW
210376765,BEYAZID 55,22241110,11884221,R1,0,LW
210679087,Mitsumia,22120752,201920,R1,0,LW
209794039,ฝันดี,21861076,13727153,R1,0,LW
210195820,PoucesNormaux,21847635,8895395,R1,0,LW
210039896,Menezobrrr,21709602,100305,R1,0,LW
210370357,thegoathimself,21592156,5942453,R1,0,LW
210225102,humilde manco,21520105,5478211,R2,0,LW
209617120,NTTha farm,21492609,20593606,R1,0,LW
207189272,ᴿSAURON,21377451,22710531,R1,0,LW
210344374,Mefistófeles,21334168,2908347,R1,0,LW
210396142,Baruta,21129667,3545096,R1,0,LW
210140834,dirty game,20940207,9908519,R1,0,LW
209709756,aj rimmer,20921896,3144022,R1,0,LW
209762988,ᴰᵀŞahmar,20778365,2902396,R3,0,LW
210409801,Incomeq,20738716,4596992,R1,0,LW
210344123,toloarmy,20734538,2997411,R1,0,LW
210398747,ÐarkKnight,20474755,1069415,R1,0,LW
210267199,De Noordzijde,20451662,267678,R3,0,LW
210376408,Le Venin,20436578,13278889,R2,0,LW
210045541,Andyko149,20269157,1576355,R1,0,LW
210265847,Almajidi,20069965,985300,R1,0,LW
209837225,iXx,26431484,18058289,R1,0,OT24
210258071,znic,22861609,130905,R4,0,OT24
210245347,Szoboslai8,21023323,3135595,R3,0,OT24
210253596,ᴳᴺAURELIUS,28959207,37770793,R3,0,RAG9
208850800,24 X҉ 도주이득,26177030,71254908,R4,0,RAG9
209843352,24 X tafger,25833690,48374182,R4,0,RAG9
211209147,24 X҉   AxeTR,23776098,4821984,R1,0,RAG9
210013615,ᴹᴰLadyVic,29347283,44375932,R3,0,SAL
209853474,kurinin23,24356609,14255914,R3,0,SAL
210435381,Supper Saiyan,22948879,6651596,R3,0,SAL
210330736,Charli300,22358263,7332770,R3,0,SAL
210750053,KristianCor,21889697,15117084,R3,0,SAL
210346486,todays 12,58739920,88615137,R1,0,SL
209294221,24X҉AlphaWolf,56930155,43977505,R1,0,SL
209844407,Nick40,55196373,93601068,R1,0,SL
209875567,ᴬᵈDMAч1т,52637720,55306746,R2,0,SL
210262314,ᴮᴺGLE400,52427696,45168129,R1,0,SL
209502334,24 X҉WilliamQ8,45196101,30811962,R1,0,SL
209978130,Malkoc0glu,44141143,91425307,R1,0,SL
209324904,TaonguoiVietNam,42927172,29774456,R1,9200000,SL
209880966,24 X Blaze,41500826,72714304,R1,0,SL
208585387,Топoль,40117055,84479245,R1,0,SL
206949917,marious1990,40052805,23201363,R1,0,SL
209927994,24 X҉  Visna,38819493,68806064,R1,0,SL
210431963,24 X҉ vSharks,38027881,96110224,R1,0,SL
209838770,24 X҉  ReDemon,37859098,21147177,R2,0,SL
210602781,A K T,36544104,55132854,R1,0,SL
209333993,jaims cat,36275349,29830376,R1,18400000,SL
209302826,1Vorobey1,36121805,20347482,R1,0,SL
207012251,MeowMeowMeowww,35701187,16829942,R2,1,SL
208756315,24 X҉  A Phàm,35674004,49653012,R1,0,SL
