player id,name,power,kill point,rank,rss assist,clan name
208198024,ᴿᵂMaegun,32600968,60919360,R3,0,AL
208189568,ᴿᵂMelMel,32265256,59505240,R4,0,AL
207280922,ᴮᴺPemudA,31926066,62152311,R1,0,AL
209393079,ᴿᵂ Shakkah,31304071,19726076,R1,0,AL
209817323,ᴰᴷZORO GPS,31268978,41374916,R3,0,AL
208158335,24 X҉ HellSing,31146855,49913548,Leader,0,AL
209881330,ᴿᵂKittamer,30833884,20836387,R3,0,AL
210401319,bulldog,30768078,7662115,R1,0,AL
209965993,Мрисса,30435312,27971914,R3,0,AL
209904530,ᴿᵂ MarkDen,30085263,17718962,R3,0,AL
208200368,ᴿᵂAlphaWolf,30044899,61023544,R3,0,AL
209321542,Rambo ll,30036498,19881837,R1,0,AL
208680184,Kutilkatak,29875895,21447837,R1,0,AL
209089507,24X҉ Olivia,29501442,109159506,R4,12000000,AL
208211785,ᶲOmJiroᴿᵂ,29488423,54655618,R3,0,AL
210332264,ʳᶻKe1XrTh1zn,29473672,11691309,R1,0,AL
207562640,ᴿᵂEazyBuu,29242708,28438076,R3,0,AL
212491924,RedbudSupaFarm,28978961,3443739,R1,0,AL
210218341,DEMId 01,28666110,3390385,R2,0,AL
208198410,ᴿᵂintruglio,28520318,16361577,R3,0,AL
208189559,ᴿᵂRenegade,28268521,50781229,R1,0,AL
210066323,Dâu tây cny,27968264,26456613,R1,0,AL
209894459,LeslieChow,27824460,18786256,R1,0,AL
209807832,Evertonian,27679373,8478238,R1,0,AL
208961613,ᴿᵂSabrewolf,27603291,3146116,R1,0,AL
209007130,ᴿwmeowington,27596191,24564424,R4,158000000,AL
207938366,клевый,27329423,1701565,R1,0,AL
209345131,ᴰᴷCamaron,27115917,28982961,R3,0,AL
208164511,ᴿᵂIndigo,27053779,26917156,R1,0,AL
210900267,LORD ZEE 1,27040713,6630200,R1,0,AL
209804157,ᴿᵂELLVIERA,26873762,28666371,R3,0,AL
209749867,ᴬᶠBamba,26779691,8754267,R1,0,AL
209870149,ᴿᵂJOESANJI,26255642,12627471,R2,0,AL
208211560,ᴿᵂ Musti,25932691,12486732,R2,0,AL
208206714,ᴿᵂPredator,25892882,14463430,R2,0,AL
207108248,HOY PINOY AKOヮ,25679910,72140987,R3,0,AL
211065244,Kr0uKe1zR0k,25262651,4285046,R1,0,AL
208188806,rw kk,25182665,15345219,R2,0,AL
209986084,maiconphieu,24788219,1338691,R1,0,AL
209326871,G R E E K,24660220,30868486,R1,0,AL
209836261,ᶲ Lady D,24607353,4016460,R1,0,AL
210387001,Cá161691,24479192,9490752,R1,0,AL
209861963,ᴿᵂAlex,23917514,87477872,R4,0,AL
209835098,ᴿᵂ DuongBeo,23900049,3884807,R1,0,AL
210913126,ᴿᵂKingOfWar,23857788,56523426,R1,0,AL
207860890,ᴿᵂMagicMal,23469286,19867517,R3,0,AL
210375755,warandromedha,23436354,7696505,R1,0,AL
210402314,Мех,23329454,2950760,R1,0,AL
210562229,Panda Legion,23185087,46265000,R3,0,AL
209872477,Aryta,23141943,9191963,R1,0,AL
210446135,SCOURGE OF GOD,23124131,73792185,R1,0,AL
210373344,Oulboy,23109081,18824354,R1,0,AL
209852044,ᴿᵂVito,23082782,23416750,R2,0,AL
208226755,ᴿᵂGRAYWOLF,23002096,19161879,R3,0,AL
210330344,buonngu,22595629,21582682,R1,0,AL
209885315,ᴿᵂKapo,22515557,4027136,R1,0,AL
207689266,ᴿᵂManuel,22454129,27231708,R1,0,AL
207688109,RWxLoneStar,22405441,6460655,R1,0,AL
208211218,ᴿᵂ Rooster,22386193,53780563,R1,0,AL
209842652,Burak3523,21584102,1217209,R1,0,AL
206992661,GunnaGhøst,21556774,30466772,R3,0,AL
209882504,Coconut15,21366853,8841114,R1,0,AL
211311750,Sergо,21241988,7063121,R1,0,AL
210252173,Eren kaya 06,21063324,2307174,R1,0,AL
208373408,viva farm 5555,21025857,1231541,R1,0,AL
210383699,Le Rose,20704266,9752182,R4,0,AL
210051564,ᴰᴷMatri214,20535919,13157019,R1,0,AL
208966369,24 X҉ MONGOLIY,20207597,7216678,R1,0,AL
209901762,ᴿᵂEJBau,19924135,2980449,R1,0,AL
202699449,Spartacus Farm1,19569872,11332744,R1,0,AL
208210378,ᴿᵂAzRa eL,19539394,11614143,R2,0,AL
210301764,TVRI mongos,19236993,9285776,R1,0,AL
207300929,HOTTHEAD,17892457,2620942,R1,0,AL
192034057,24 X҉ No Mercy,17678295,16374180,R1,0,AL
208165669,ᴿᵂHANMAAZM,17135314,1989368,R2,0,AL
209905253,OsmanGazi001,16762262,4687026,R1,0,AL
209871837,ᴿᵂNiuniek17,16755499,8001117,R2,0,AL
212612755,ᴬᵈGROZ 409,16650548,2350718,R1,0,AL
213838286,Palo4ke,16056543,1147664,R1,0,AL
213866693,Smert Boy,15896950,1132538,R1,0,AL
208227524,RW ÖZDEMİR,15842006,18557896,R2,0,AL
209873558,ᴬᴸRomen228,15829641,7899928,R1,112000000,AL
210377379,ArxitetIII,15626448,3858435,R1,0,AL
207941054,LeooツF1,15074978,4795722,R1,0,AL
210429723,VeeYisusS,15056626,811826,R1,0,AL
210653746,MCDragoon005,12966395,8369255,R1,0,AL
212350618,Olivia Fam,12384467,3876948,R1,0,AL
209895358,ᴿᵂHoney,11476841,1216627,R1,0,AL
209996410,KirbyML2005,10070208,2184655,R1,0,AL
209879245,Spartacus6 Farm,9734979,3410138,R1,0,AL
210814715,AqueminiFarm,9681323,3258007,R1,0,AL
210583696,TOMBYF,8321305,448451,R1,0,AL
208304369,ᴿᵂWhybe,7487397,5111962,R1,0,AL
204143779,CẩmVân Farm,6596935,2172048,R1,0,AL
209468870,Bando kid farm,6101375,743838,R1,0,AL
204545801,CẩmVân Farm1,6057236,299356,R1,0,AL
204282067,CẩmVân Farm2,5623746,10160,R1,0,AL
209614981,Сиэль 2,3098539,2234463,R2,0,AL
212812592,Romen22804,1986653,108420,R1,0,AL
208684612,ᶲJW4101,26497590,5992166,R4,0,AL:S
211892788,ᶲJW4101 Farma,23796017,1704459,R2,0,AL:S
209865169,Xerocs,16089743,1170231,R3,0,AL:S
210383974,ᴋᴺ lives,15803791,12401323,R4,0,AL:S
211741214,Pax F,15724862,3255162,R4,0,AL:S
211736865,AC F,14634756,3176974,R1,0,AL:S
211776677,Hắc ma 1,13379229,0,R3,0,AL:S
209281449,Chow1,13294823,2716026,R1,0,AL:S
209354367,Overk,13190524,1632463,R3,0,AL:S
214372945,Mrissafarm,13033302,2323164,R1,0,AL:S
203626141,ᴸᵂZyntar,12133998,682127,R3,0,AL:S
209915585,DonFrss,11144776,3445600,R3,0,AL:S
210026016,24 X҉  MinoZ,10519348,978145,R3,0,AL:S
216528451,Lil Vivian,10363238,228011,Leader,0,AL:S
210445597,VanHungAccChinh,9669508,1314042,R3,0,AL:S
216527101,Xatarê,9620046,176688,R1,0,AL:S
217726185,ᴿᵂArtзmis2,9501443,2068161,R4,0,AL:S
209987195,ᴬᴸMino2,8890120,1100150,R3,0,AL:S
211384351,blblblfarm,8876057,439201,R3,0,AL:S
216174637,Bóng Xà Bang,8729365,1301020,R2,0,AL:S
219159031,Pax F2,8265226,297290,R1,0,AL:S
