Rank,Governor ID,Name,Power,DKP,Total Deads,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills
244,207096650,ƊENヽMENGHITAM,40425801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,210150240,Nihilith,38949132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,204481763,SeeAllNextTime,38378758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,210206310,MENGHITAM mac,36476490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,208308213,HiヽMENGHITAM,35811482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,209551669,Алекс 26,35394169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,208700794,HakaiヽMENGHITAM,35270002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,210049139,BTK MENGHITAM,35171121.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
252,207181069,azino777,35025505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,209833339,Sand火,34947760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,208630104,FullヽMENGHITAM,34325403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,210456669,BongヽMENGHITAM,34293186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,209966603,MEX MENGHITAM,33956484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,210639694,Luxueqi Gold,33942549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,210006729,DOMINICKTVT,33850765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,210511661,TeeoヽMENGHITAM,33266028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,136899,L0RD0FGH0ST,33253614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,207852954,YINヽMENGHITAM,33062868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,209701219,JerryヽFiller,32417278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,209824686,ᴍɴɢ TURBO,32387817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,209170156,Coraliee,32201348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,208385323,F2p petani,31768403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,210456962,ᶜᶻyatiメ,31711877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,207993733,iCqryヽMENGHITAM,31377233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,209321348,25 X Gio,31259524.0,0.0,0.0,325848.0,0.0,0.0,81462.0,0.0,0.0
269,209749969,Voidxz,31141109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,210056576,MixueヽMENGHITAM,31016371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,208303025,Fox๛Menghitam,30962073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,210214739,ᶜᴺМяфka,30726883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,208033730,SmileヽMENGHITAM,30423214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,211349822,P rime,30246073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,71144375,Mxia9ヽMENGHITAM,29863573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,209816322,AlwawiMENGHITAM,29829241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,206722609,JarIVヽMENGHITAM,29601947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,210657157,ManicヽMENGHITAM,28872130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,207742184,Tobi MENGHITAM,28691695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,210272372,Asuori Farm,28541466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,210231116,ATASYヽMENGHITAM,28092218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,210467451,Paradontaks,27684629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,209971582,Kim Love Muted,27580620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,158335930,JIWOOヽMENGHITAM,27576532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,208800298,TèoヽMENGHITAM,27001191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,210651361,Bek5,26799572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,210218388,Badi MENGHITAM,26233309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,208772158,Sekimi YaniNeko,26044534.0,0.0,0.0,563.0,2816.0,0.0,0.0,0.0,0.0
289,207092692,Slayer vs 25,25686621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,210526234,TizeRヽMENGHITAM,25669541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,207531770,Angоl,25549335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,210464173,Jenn Menghitam,25313276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,210266794,Grimm MENGHITAM,25155120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,210734300,Bolukukus HITAM,25102301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,204255712,CocoヽMENGHITAM,25011003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
