#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points,Feeding Rate
1002,210140834,dirty game,Fire,3924,21383211,0,0,0,0,0,0,0,0,,100,0,0,0,
1011,209534514,24 X҉ Ney,Fire,3924,31049916,0,0,0,0,0,0,0,0,,100,4206836,26377,2238330,
1017,210402314,Мех,Fire,3924,21193382,0,0,0,0,0,0,0,0,,100,0,0,0,
1022,211294741,Lionfarm,Fire,3924,19910268,0,0,0,0,0,0,0,0,,100,0,0,0,
1049,209905807,24X҉   Valetta,Fire,3924,25410798,0,0,0,0,0,0,0,0,,100,0,0,0,
1074,209905081,24X҉  TolganaC,Fire,3924,40538956,0,0,0,0,0,0,0,0,,100,0,0,0,
1092,210533310,Vates,Fire,3924,28983137,0,0,0,0,0,0,0,0,,100,0,0,11356,
1094,205078912,24 X҉ Bin,Fire,3924,45192135,0,0,0,0,0,0,0,0,,100,698187,12289,727215,
1096,210490061,24 X҉ DuMuc,Fire,3924,29243018,0,0,0,0,0,0,0,0,,100,0,0,0,
1100,210379181,Riri94,Fire,3924,20149609,0,0,0,0,0,0,0,0,,100,0,0,0,
1108,209250126,24 X҉   Sharky,Fire,3924,24562297,0,0,0,0,0,0,0,0,,100,0,0,0,
1112,210013615,ᴹᴰLadyVic,Fire,3924,29427242,0,0,0,0,0,0,0,0,,100,0,0,0,
1113,210392260,Governador210392260,Fire,3924,18467922,0,0,0,0,0,0,0,0,,100,0,0,0,
1116,210371729,24 X҉ xANGELx,Fire,3924,27242781,0,0,0,0,0,0,0,0,,100,1417946,114816,3216788,
1146,209043926,TOMBOYY,Fire,3924,33763079,0,0,0,0,0,0,0,0,,100,1456169,54650,2245788,
1178,209320692,ᴱᶻLelya Fm,Fire,3924,31567556,0,0,0,0,0,0,0,0,,100,0,0,0,
1194,210395883,24 X҉ AsFari,Fire,3924,28515052,0,0,0,0,0,0,0,0,,100,0,0,0,
1198,210417562,24 X҉   Redbud,Fire,3924,35065672,0,0,0,0,0,0,0,0,,100,153896,46370,875594,
1203,210834790,Huyメ,Fire,3924,24924041,0,0,0,0,0,0,0,0,,100,820145,45222,1803879,
1217,207317874,24 X҉ MONGOL,Fire,3924,31763246,0,0,0,0,0,0,0,0,,100,2353874,126418,2159672,
