#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points,Feeding Rate
3340,210372799,24 CHEZCKO,Fire,3924,30235669,0,0,0,0,0,0,0,0,,100,26446,0,61916,
3341,207957194,BankKingdom24,Fire,3924,20753360,0,0,0,0,0,0,0,0,,100,0,0,5810,
3373,210412615,methusala,Fire,3924,30287081,0,0,0,0,0,0,0,0,,100,453246,0,1598125,
3374,210272139,Inf1n1ty,Fire,3924,30503101,0,0,0,0,0,0,0,0,,100,0,0,251,
3404,210391706,ᴶᶠ RynaMay,Fire,3924,19603503,0,0,0,0,0,0,0,0,,100,0,0,0,
3409,210331620,24 X҉스웨덴세탁소,Fire,3924,52026889,0,0,0,0,0,0,0,0,,100,0,0,0,
3417,210354561,ᴸnichii,Fire,3924,26564130,0,0,0,0,0,0,0,0,,100,411810,32448,763666,
3418,210531865,Cyntra City,Fire,3924,29677938,0,0,0,0,0,0,0,0,,100,451263,3704,2941842,
3426,209853474,kurinin23,Fire,3924,24353284,0,0,0,0,0,0,0,0,,100,0,0,0,
3435,210532839,Beelphegor,Fire,3924,30431396,0,0,0,0,0,0,0,0,,100,0,0,2774,
3448,210806310,Natcho 2,Fire,3924,18753418,0,0,0,0,0,0,0,0,,100,0,0,0,
3477,212007469,Ulvsbane farm,Fire,3924,27728319,0,0,0,0,0,0,0,0,,100,0,0,2124,
3490,210437015,Almaspavlodar,Fire,3924,25993695,0,0,0,0,0,0,0,0,,100,97687,248829,0,
3503,208756315,24 X҉  A Phàm,Fire,3924,25009594,0,0,0,0,0,0,0,0,,100,0,0,0,
3505,209302826,1Vorobey1,Fire,3924,36616593,0,0,0,0,0,0,0,0,,100,715542,0,1174487,
3531,210302210,Papabara,Fire,3924,18200764,0,0,0,0,0,0,0,0,,100,0,0,0,
3538,209619554,ᴹᴰDoC OcK,Fire,3924,40533705,0,0,0,0,0,0,0,0,,100,0,0,0,
3565,210190324,Legend68,Fire,3924,29897595,0,0,0,0,0,0,0,0,,100,0,0,0,
3594,213221751,24 X҉ vSharKs,Fire,3924,30188298,0,0,0,0,0,0,0,0,,100,0,0,0,
3599,207653866,24 X҉ Gấu,Fire,3924,39655717,0,0,0,0,0,0,0,0,,100,4798878,153934,1416082,
3603,207774760,KhôiLangThang,Fire,3924,35643780,0,0,0,0,0,0,0,0,,100,799534,157443,792485,
3621,210209380,King Bismarck,Fire,3924,25299222,0,0,0,0,0,0,0,0,,100,40696,104,519447,
3682,209848443,ᴿᵂPalo4keee,Fire,3924,30956202,0,0,0,0,0,0,0,0,,100,0,0,2626,
3694,208821197,ᴰᴾJoe Black,Fire,3924,24928796,0,0,0,0,0,0,0,0,,100,0,0,0,
3722,209838770,24 X҉  ReDemon,Fire,3924,39470858,0,0,0,0,0,0,0,0,,100,791034,302125,1549088,
3725,210142805,Olly25,Fire,3924,28598326,0,0,0,0,0,0,0,0,,100,636698,413108,2002514,
3730,210258071,znic,Fire,3924,17558364,0,0,0,0,0,0,0,0,,100,0,0,0,
3739,210888570,Fozzie Farm 3,Fire,3924,19931174,0,0,0,0,0,0,0,0,,100,0,0,0,
3769,208594000,Báolonf,Fire,3924,54892611,0,0,0,0,0,0,0,0,,100,14174453,0,11819965,
3772,209502334,24 X҉WilliamQ8,Fire,3924,45444876,0,0,0,0,0,0,0,0,,100,0,0,0,
3793,210213330,Ita city,Fire,3924,31967948,0,0,0,0,0,0,0,0,,100,444150,754282,1001240,
3803,209531678,Crisssss,Fire,3924,34414792,0,0,0,0,0,0,0,0,,100,0,0,0,
3846,209620976,SUPERMANx,Fire,3924,31165153,0,0,0,0,0,0,0,0,,100,0,0,0,
3851,207933613,24 X҉ Sawakita,Fire,3924,28977005,0,0,0,0,0,0,0,0,,100,431846,45655,494609,
3852,209322462,ˣPoseidon,Fire,3924,28394737,0,0,0,0,0,0,0,0,,100,0,0,0,
3870,210372206,BatesS,Fire,3924,21485199,0,0,0,0,0,0,0,0,,100,0,0,0,
3892,209613410,24 X҉ Smeller,Fire,3924,26332962,0,0,0,0,0,0,0,0,,100,0,0,0,
3908,210376950,NightStarr,Fire,3924,26078909,0,0,0,0,0,0,0,0,,100,0,0,0,
3919,207190528,kz 007 02,Fire,3924,27470076,0,0,0,0,0,0,0,0,,100,0,0,0,
3938,207688111,Rwjin2,Fire,3924,22402680,0,0,0,0,0,0,0,0,,100,0,0,0,
3949,207189272,ᴿSAURON,Fire,3924,19136039,0,0,0,0,0,0,0,0,,100,0,0,0,
3951,210679087,Mitsumia,Fire,3924,17272519,0,0,0,0,0,0,0,0,,100,0,0,0,
3952,209367117,ᴱᶻIvanRR,Fire,3924,31207792,0,0,0,0,0,0,0,0,,100,0,0,0,
3987,208108254,Alex hub,Fire,3924,36324952,0,0,0,0,0,0,0,0,,100,332921,166733,213480,
4014,207428704,ᶫʳБьёрн,Fire,3924,29070019,0,0,0,0,0,0,0,0,,100,192000,0,1115352,
4019,209530219,24 X҉ SóiGià,Fire,3924,38143868,0,0,0,0,0,0,0,0,,100,8744962,487537,2965788,
4036,210218341,DEMId 01,Fire,3924,26421213,0,0,0,0,0,0,0,0,,100,0,0,0,
4046,209838834,Teung,Fire,3924,31739081,0,0,0,0,0,0,0,0,,100,680343,526446,1255043,
4068,208630834,24 X҉  Mommy,Fire,3924,24817348,0,0,0,0,0,0,0,0,,100,0,0,0,
4112,207012251,MeowMeowMeowww,Fire,3924,37638313,0,0,0,0,0,0,0,0,,100,269933,8390,526882,
4117,209938736,ᴮᴺAquemini,Fire,3924,28690283,0,0,0,0,0,0,0,0,,100,0,0,0,
4127,209858345,Loki  ツ,Fire,3924,21059427,0,0,0,0,0,0,0,0,,100,319393,716012,758888,
4128,210740345,Basiliscus,Fire,3924,28066778,0,0,0,0,0,0,0,0,,100,0,0,10433,
4129,210234353,AK Optimuss,Fire,3924,21367077,0,0,0,0,0,0,0,0,,100,0,0,0,
4130,207777450,See ya guys,Fire,3924,23910152,0,0,0,0,0,0,0,0,,100,0,0,0,
4135,209312381,Yola61,Fire,3924,22298098,0,0,0,0,0,0,0,0,,100,0,0,0,
4173,210913126,ᴿᵂKingOfWar,Fire,3924,24527220,0,0,0,0,0,0,0,0,,100,95766,0,524345,
4195,205864876,BATYA,Fire,3924,56353119,0,0,0,0,0,0,0,0,,100,403601,1591,0,
4204,210066323,Dâu tây cny,Fire,3924,30099902,0,0,0,0,0,0,0,0,,100,55954,0,391177,
4217,211557716,ᴰᴾCyanide,Fire,3924,24020562,0,0,0,0,0,0,0,0,,100,0,0,0,
4218,206974141,ᴳᴴKaiO,Fire,3924,28764491,0,0,0,0,0,0,0,0,,70,0,0,0,
4225,203886048,24 X҉ CẩmVan,Fire,3924,54201149,0,0,0,0,0,0,0,0,,100,9042969,73728,5354626,
4226,210383699,Le Rose,Fire,3924,23051193,0,0,0,0,0,0,0,0,,100,0,0,0,
4237,208558087,24 X҉ Alie,Fire,3924,24154849,0,0,0,0,0,0,0,0,,100,0,0,0,
4240,207592439,ˢᵛJoiSai,Fire,3924,21382814,0,0,0,0,0,0,0,0,,100,0,0,0,
4248,210602781,A K T,Fire,3924,37256462,0,0,0,0,0,0,0,0,,100,697430,0,474813,
4266,208580783,24X҉Сиэль,Fire,3924,29382079,0,0,0,0,0,0,0,0,,100,489196,368475,1067977,
4273,210517889,babyb0y,Fire,3924,35073116,0,0,0,0,0,0,0,0,,100,0,0,0,
4279,209880966,24 X Blaze,Fire,3924,46023593,0,0,0,0,0,0,0,0,,100,1332079,0,2015838,
4280,210233153,ᴿᶠMixey911,Fire,3924,33701993,0,0,0,0,0,0,0,0,,100,232406,26122,485198,
4296,209600107,LeONn,Fire,3924,38311352,0,0,0,0,0,0,0,0,,100,10869148,354590,4874619,
,210383974,24 X҉ simle,Fire,3924,0,,0,0,0,0,,0,0,,,292010,43376,814171,
,209351255,López1,Fire,3924,0,,0,0,0,0,,0,0,,,85350,0,552792,
,210226004,Younis m 3,Fire,3924,0,,0,0,0,0,,0,0,,,80816,0,569850,
,207672810,DHieuメLiIy,Fire,3924,0,,0,0,0,0,,0,0,,,0,0,57632,
,210429723,VeeYisusS,Fire,3924,0,,0,0,0,0,,0,0,,,0,0,5388,
,210195820,24X Poucenormau,Fire,3924,0,,0,0,0,0,,0,0,,,0,0,2146,
,204513619,M100,Fire,3924,0,,0,0,0,0,,0,0,,,0,0,536,
