Rank,Kingdom,Group,KvK,KvK Start,KvK End,Power,Power Capped,KP,Dead,CH25
74,1532,A,C13216 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,16052658239,16034359381,1.22738E+11,2426076232,265
75,1939,A,C13216 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,16045238819,16040982481,1.30477E+11,2726108580,284
76,1016,A,,,,15955118910,15910410407,9.09561E+11,5140559824,295
77,1592,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,15943202499,15882448428,1.54391E+12,5707433775,300
78,2062,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,15869260585,15869260585,4.58649E+11,3631139215,300
79,1082,A,,,,15850238829,15735391996,93661512089,1792421379,224
80,2199,A,,,,15799678454,15794585533,1.98358E+11,2830340172,288
81,2626,A,C13214 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,15786281123,15786281123,1.60507E+11,2678866598,300
82,2194,A,,,,15734025602,15734025602,7.0062E+11,4256146608,300
83,1212,A,,,,15726291177,15619461929,8.15522E+11,4096521037,300
84,1079,A,,,,15726038794,15713085793,1.24751E+12,4971983376,300
85,3256,A,,,,15718541570,14469356216,2.76811E+11,2473285617,227
86,2020,A,,,,15692243451,15692243451,1.86436E+11,2460592450,279
87,1854,A,,,,15618116207,15616802627,1.69988E+11,2556573161,300
88,2965,A,,,,15562560856,15499878442,1.11715E+12,4402974086,295
89,1843,A,,,,15470118554,15470118554,1.45745E+11,2811768883,274
90,1206,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,15465172785,15460216101,9.75312E+11,4141028359,300
91,2685,A,,,,15443097720,15443097720,4.21044E+11,2954022137,300
92,1393,A,,,,15439919084,14944845806,1.00398E+12,4362464510,300
93,3535,A,,,,15407250602,15394648793,2.7744E+11,2846357453,300
94,1343,A,,,,15330530257,15328069852,1.2231E+11,2280739641,289
95,2179,A,,,,15279893349,15136354677,4.83949E+11,2803934432,286
96,3319,A,,,,15192635444,15190360132,2.13022E+11,2909466361,300
97,1757,A,,,,15170281335,15169231348,91363262505,2242625149,300
98,2405,A,,,,15149793308,15083643967,9.51839E+11,3952780346,300
99,2666,A,,,,15114608693,14962149302,1.33908E+12,4862425362,278
100,3538,A,,,,15048824542,15036913887,2.32433E+11,2632789540,294
101,2116,A,,,,15011982046,14996093559,4.49924E+11,3274817723,300
102,1169,A,,,,14986382638,14678758352,5.11434E+11,3987081200,288
103,2027,A,,,,14983349975,14944864233,7.54755E+11,3390615699,300
104,3904,A,,,,14900925242,14638767217,2.40609E+11,1028570306,300
105,3767,A,C13236 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14885383790,14885383790,1.37948E+11,1408934679,300
106,1770,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14877678117,14877678117,5.48155E+11,3728434631,300
107,2964,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14864066519,14857753951,5.20336E+11,2879946078,300
108,2070,A,,,,14853350420,14813538963,4.31761E+11,3755553902,300
109,1877,A,,,,14750416100,14750416100,4.30327E+11,2952831792,300
110,1960,A,,,,14727871130,14652243103,7.80395E+11,3625992294,300
111,2269,A,C13210 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14711428327,14711428327,4.73828E+11,3273553018,300
112,3143,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14708610900,14708610900,6.97713E+11,3643899228,300
113,1261,A,,,,14705761544,12117732900,1.32875E+11,2329269481,251
114,3869,A,C13206 (Battle),2026-06-11T00:00:00.000Z,2026-08-08T00:00:00.000Z,14642349222,14624718573,4.77694E+11,1491916162,300
115,2246,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14613240632,14600183301,3.82033E+11,2866622643,300
116,1220,A,,,,14594796581,14594796581,6.21691E+11,3724806840,284
117,3710,A,,,,14587068846,14587068846,93907465668,1186942670,300
118,1858,A,C13237 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14573645306,14470412878,5.07607E+11,3031310817,286
119,2654,A,,,,14558021570,14532157075,7.10734E+11,3440906757,300
120,3853,A,,,,14553633871,14553633871,1.63613E+11,1156121477,300
121,3743,A,,,,14532522109,14479882519,8.51452E+11,3209536170,293
122,2217,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14502588179,14500436151,1.00767E+12,4122845965,300
123,3374,A,,,,14501952844,14501952844,1.4724E+11,2498048248,300
124,1992,A,,,,14467458713,14467458713,1.0909E+11,2727119913,291
125,3698,A,C13236 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14448565353,14448565353,1.92621E+11,2149611552,300
126,2690,A,,,,14396550589,14394484061,5.04432E+11,2734697714,300
127,3834,A,,,,14381219614,14380910484,1.89973E+11,1548097909,300
128,1075,A,C13220 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14352097031,14350513941,94991897029,2088132590,261
129,2551,A,,,,14254400047,14252472014,93827190871,2091564127,282
130,1837,A,,,,14229070690,14223195841,1.79878E+11,2557110116,254
131,1501,A,,,,14225850608,14140552070,8.7418E+11,3926213997,272
132,1682,A,,,,14195680365,14186081252,5.73556E+11,3918249389,300
133,2218,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14167945690,14141456347,1.43048E+12,5130050307,300
134,1185,A,,,,14145031605,14145031605,3.43557E+11,3028895965,300
135,2783,A,,,,14127809572,14127809572,79162792112,1842406061,300
136,3731,A,,,,14107267310,14106072165,1.1115E+11,1215914085,300
137,1020,A,C13227 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14083166059,14083166059,5.51337E+11,3543835479,300
138,3741,A,C13231 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14050183947,14049089598,3.45176E+11,2161280386,300
139,3848,A,,,,14023296714,14023296714,72554620951,1154940506,300
140,2103,A,,,,14013108177,13938113951,7.36303E+11,3189235403,283
141,2919,A,,,,14012735912,14008635113,2.73522E+11,3070262102,300
142,3462,A,,,,14012233939,14003687954,4.57728E+11,2695340489,300
143,2183,A,,,,14006523663,12923234945,4.07596E+11,2993417546,232
144,3695,A,,,,13996759866,13952403021,1.08286E+12,3849260711,300
145,2398,A,,,,13995387698,13995387698,1.88786E+11,2500005970,257
146,2715,A,,,,13950234293,13895605084,8.72011E+11,3863280255,199
147,2538,A,,,,13947893956,13869418020,6.82181E+11,3674287764,283
148,1258,A,,,,13875775775,13371109087,1.29775E+11,2624913657,258
149,1611,A,,,,13869562065,13869562065,1.82834E+11,2021071070,276
150,1287,A,,,,13851752085,13841778978,1.16984E+11,1948448193,238
151,1047,A,,,,13836049433,13080277715,1.25636E+11,2178362777,237
152,3025,A,,,,13825100310,13823471500,5.46748E+11,3064925002,281
153,3772,A,,,,13822069571,13821812978,2.63695E+11,1470263399,300
154,3307,A,,,,13815719727,13815719727,2.25935E+11,2603279631,290
155,1968,A,,,,13809397857,13809397857,2.57517E+11,2793854978,300
156,2189,A,C13210 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13809216522,13806871335,3.69588E+11,2699174557,285
157,3248,A,,,,13801149675,13791566934,3.79991E+11,2966942584,300
158,2385,A,,,,13786499700,13391208402,1.22707E+11,2372255965,272
159,2112,A,,,,13770504739,13765504161,4.17046E+11,3189591689,300
160,3652,A,C13237 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13733005433,13681966672,2.01191E+11,1914496111,289
161,3836,A,,,,13732005774,13726379573,1.26264E+11,1040231147,300
162,2400,A,,,,13720021930,13523188192,2.59325E+11,2591591283,273
163,2260,A,C13211 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13716337311,13696660476,2.09758E+11,2455495047,264
164,2890,A,C13210 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13714835150,13702357288,6.31673E+11,3338549873,300
165,2397,A,,,,13700514320,13700514320,6.08923E+11,3000667670,300
166,1671,A,,,,13697789613,13688768283,3.47183E+11,3251815049,300
167,2050,A,,,,13669785919,13669785919,1.80018E+11,2479814379,284
168,3604,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13668828106,13668828106,4.24652E+11,2834566025,300
169,3322,A,,,,13653137382,13648416802,1.34189E+11,3121098751,292
170,3491,A,,,,13646721929,13646721929,1.52241E+11,1997588365,300
171,3540,A,,,,13625979940,13625979940,1.53631E+11,2295657871,300
172,3021,A,C13212 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13624241094,13624241094,2.61993E+11,2434482116,300
173,1507,A,,,,13619775510,13613545724,2.87625E+11,2554408512,300
174,1525,A,,,,13596736682,13569161929,7.89295E+11,3821342324,300
175,1368,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13562273361,13533975006,7.99504E+11,4304899121,300
176,2080,A,C13232 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13519526009,13499409834,2.33105E+11,2371082793,300
177,2871,A,,,,13509907356,12394278844,91411548900,2073166106,253
178,1277,A,,,,13472476161,13472476161,1.85762E+11,2597059747,300
179,2212,A,C13229 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13457669720,13457669720,3.75222E+11,2945503798,279
180,3074,A,,,,13439292213,13375972305,7.23706E+11,3723492813,300
181,3676,A,,,,13402450709,13323588419,4.68547E+11,2229571361,295
182,3033,A,,,,13379113571,12835443400,7.62607E+11,3339872460,262
183,3376,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13353728041,13353728041,6.04633E+11,3186930526,300
184,1370,A,,,,13348299818,13348299818,1.38791E+11,2224197276,242
185,1612,A,,,,13329592915,13317860085,3.84428E+11,2963750381,300
186,3813,A,C13236 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13298878242,13298878242,1.15704E+11,1226381578,300
187,1307,A,,,,13291463251,13236915106,3.95856E+11,3375885978,300
188,3637,A,,,,13288999505,13288999505,94266565773,1503871111,300
189,3501,A,,,,13285668460,13285668460,1.479E+11,2228261916,300
190,2345,A,,,,13252552208,13252552208,1.98052E+11,2644054854,253
191,3816,A,C13213 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13250693376,13250693376,71014451281,1174877784,300
192,1148,A,C13217 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13247461129,13247461129,1.74066E+11,2507338161,258
193,3406,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13226573367,13226573367,5.19079E+11,3249430394,300
194,3217,A,,,,13207905067,13206652758,4.32435E+11,2778102898,287
195,3860,A,,,,13200114283,13197092386,1.60678E+11,1318439295,299
196,1071,A,,,,13199616282,11535684903,1.53678E+11,2047473342,207
197,3099,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13184183438,13184183438,5.86899E+11,2675582512,281
198,1821,A,C13212 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13177268286,13177268286,4.15862E+11,2444904724,241
199,1994,A,C13229 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13095763026,13092743388,1.33157E+11,2614475107,300
200,3818,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13094333538,13094333538,2.9179E+11,1721795478,300
201,1989,A,,,,13070610493,13069431773,3.66884E+11,3150310960,273
202,2600,A,,,,13039059872,13039059872,2.03941E+11,2437702915,278
203,2583,A,C13214 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13024167576,13016846920,7.01386E+11,3366160806,266
204,3013,A,,,,13016324107,13015113434,3.9191E+11,2665272086,300
205,2010,A,,,,12994885988,12957767220,5.96969E+11,3416560643,300
206,1559,A,,,,12968305660,12968305660,1.47152E+11,2691548334,217
207,3542,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12955343235,12955343235,6.89386E+11,3233932349,300
208,2026,A,C13211 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12949493670,12920002956,4.11412E+11,2317897309,300
209,1756,A,,,,12940308281,12940308281,1.927E+11,2867268037,254
210,2657,A,,,,12937994982,12934257524,3.06614E+11,2481037042,300
211,3094,A,C13227 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12864373117,12785941667,1.88105E+11,2823902363,261
212,3757,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12848052303,12848052303,1.90382E+11,1533140475,293
213,2774,A,,,,12840063322,12774745762,6.08383E+11,3189714329,287
214,1163,A,,,,12828655065,12784360836,8.29079E+11,3266634560,300
215,2647,A,,,,12815799402,11402778140,6.53083E+11,3039651604,230
216,2988,A,,,,12791554410,12791554410,3.81838E+11,2712426859,299
217,2059,A,,,,12785342838,12782241852,2.02051E+11,2806116172,300
218,3846,A,,,,12782675996,12782675996,63873431715,836480116,300
219,1227,A,,,,12778479079,12774635363,1.07516E+11,2155007242,242
220,2707,A,,,,12754581021,12754581021,1.59206E+11,2392031835,300
221,3125,A,,,,12750671816,12750671816,2.72215E+11,2193487595,300
222,3372,A,,,,12730781162,12696319224,5.51376E+11,2654273776,264
223,2461,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12725467714,12725467714,5.02493E+11,2960018233,252
224,1385,A,C13234 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12665287516,11497811370,3.88857E+11,3000612458,226
225,1414,A,,,,12655877688,12655877688,3.67246E+11,2942158549,292
226,2378,A,,,,12643473175,12643473175,3.3285E+11,2608216883,300
227,2149,A,,,,12640062397,12640062397,5.21103E+11,3592594500,294
228,1397,A,C13211 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12635360826,12635360826,2.54251E+11,2852170138,249
229,1387,A,,,,12630415866,12614806347,94412698319,1883073238,205
230,2755,A,,,,12624504474,11387584498,3.49141E+11,2477735921,238
231,2261,A,,,,12619280433,12618811391,4.38864E+11,2246800088,285
232,1265,A,C13211 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12600305706,12596618595,2.55944E+11,2254333106,300
233,1538,A,C13210 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12588622891,12588622891,2.84498E+11,2898804063,222
234,1123,A,,,,12586925363,12586022817,2.33021E+11,2544714943,238
235,3632,A,,,,12580996845,12580996845,1.62238E+11,1971941526,300
236,3022,A,,,,12568447692,12567998567,5.65144E+11,2853287903,300
237,3331,A,C13210 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12555522016,12544736050,5.55948E+11,2911362811,267
238,1184,A,,,,12553398549,12552918505,6.60726E+11,3414144364,300
239,3852,A,,,,12538933410,12502329338,2.42861E+11,1367454738,300
240,2042,A,C13229 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12524266181,12524266181,1.01132E+11,2044032642,243
241,1672,A,,,,12514324126,11861474196,1.4813E+11,2221332787,209
242,3042,A,,,,12502405806,12502405806,1.80908E+11,2217581903,247
243,3342,A,,,,12492611105,12377483231,4.31574E+11,2313419388,269
244,1134,A,,,,12492195171,12453406133,1.98517E+11,1688521959,204
245,1799,A,C13214 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12446839410,12445624947,2.91559E+11,2358439803,300
246,2776,A,,,,12444732520,12441810738,3.84076E+11,2653107701,300
247,1684,A,,,,12422176214,11169840672,1.53562E+11,2052567032,225
248,3230,A,C13238 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12345868238,12345868238,95707408946,1750372356,257
249,3286,A,,,,12342184824,12342184824,1.49601E+11,2036395472,288
250,3768,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12324159904,12292521773,5.38571E+11,2629011125,300
251,2267,A,C13235 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12306435383,12148564662,8.34811E+11,3191992812,300
252,1447,A,,,,12286949291,12262353763,3.81332E+11,2829806759,300
253,3748,A,,,,12285274872,12285274872,40364254359,995878564,300
254,2627,A,,,,12281981645,12281190898,3.18819E+11,2559355341,300
255,3913,A,,,,12258342686,12258342686,1.72951E+11,769214341,300
256,3725,A,,,,12220670211,12215856010,1.90916E+11,1335048320,300
257,2326,A,,,,12216187674,12216187674,79634973155,1813235977,222
258,2476,A,C13216 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12216070368,12211866577,93285442196,1691547841,229
259,2170,A,,,,12197295195,12197295195,97247221535,2159129435,245
260,1187,A,,,,12134552568,12133563565,1.02445E+11,1921874947,214
261,3453,A,,,,12122473555,12101864053,5.70435E+11,2607332728,244
262,3756,A,,,,12119635616,12119635616,65826550497,1294261471,300
263,3867,A,C13206 (Battle),2026-06-11T00:00:00.000Z,2026-08-08T00:00:00.000Z,12100684418,12100684418,1.05933E+11,797255681,300
264,3641,A,,,,12099153623,11633728266,87392179429,1059835376,270
265,1641,A,,,,12068753915,11343077345,1.88866E+11,2257549674,226
266,3671,A,,,,12068555956,12068234642,2.23918E+11,1958509564,300
267,3355,A,,,,12060591654,12056020874,5.42084E+11,2758920668,300
268,2581,A,,,,12044573988,12041452140,4.49157E+11,2669799249,300
269,2907,A,C13213 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12021623173,11798128151,5.75214E+11,2855370867,300
270,3224,A,,,,12012219554,11207453464,1.66896E+11,1984989813,246
271,3865,A,C13206 (Battle),2026-06-11T00:00:00.000Z,2026-08-08T00:00:00.000Z,12012082562,12012082562,1.17094E+11,800930000,288
272,1377,A,C13228 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,12000414830,10842984615,1.57702E+11,1961449657,196
273,2133,A,C13234 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,11994709908,10766637145,2.03822E+11,2207486039,169
274,3630,A,,,,11971659256,11809908802,4.21404E+11,2076101360,273
275,1158,A,,,,11966785138,11617379600,4.9313E+11,2809207112,275
276,3502,A,C13211 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,11955530861,11955530861,2.13655E+11,2070966592,300
277,1828,A,C13215 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,11948122817,11948122817,1.0757E+11,2179881643,253
278,3271,A,C13231 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,11924827129,11924827129,3.7429E+11,2691117257,300
279,1744,A,C13218 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,11921247487,11921247487,1.2305E+11,1962129868,263
280,1964,A,,,,11911071151,11911071151,98141328168,1579729284,194
281,3862,A,,,,11906332264,11906332264,1.60169E+11,1147082792,300
282,2012,A,C13210 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,11862311896,11861076065,3.80436E+11,2342134886,300
283,2643,A,,,,11847284639,11295270148,4.30719E+11,2626967988,222
284,3273,A,,,,11842978290,11842978290,1.46493E+11,1887878744,300
285,1289,A,C13228 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,11827305536,10740925442,1.17273E+11,2203916468,208
286,1955,A,,,,11816119466,11816119466,3.60491E+11,2648363154,300
287,1839,A,,,,11812164873,11812164873,1.41294E+11,2324198532,230
288,3313,A,,,,11798369898,11529634834,1.92062E+11,2027340632,277
289,3835,A,,,,11787261612,11559016814,3.90018E+11,1643400282,276
290,1480,A,,,,11783754175,11776403103,2.49579E+11,2639013494,253
291,1222,A,C13221 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,11772559807,11769885964,1.21302E+11,2186871927,229
292,2811,A,C13248 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,11765140553,11765140553,69453310177,1879667569,261
