Rank,Kingdom,Group,KvK,KvK Start,KvK End,Power,Power Capped,KP,Dead,CH25
1,3308,A,"C13208 (Battle), C13224 (Battle)",2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,34152451943,27793255423,4.50007E+12,12492017331,300
2,1093,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,30277192664,28461942018,4.42007E+12,12297472086,300
3,2359,A,"C13225 (Battle), C13208 (Battle)",2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,29702881310,28339341440,4.96084E+12,13371205278,300
4,1001,A,,,,29052949043,28979784507,1.717E+11,2893831139,300
5,3213,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,28216257150,28178528331,6.13347E+11,3854558897,300
6,1002,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,27285980722,27202972089,2.58976E+11,3986885279,300
7,1981,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,26361718947,25739253840,2.61611E+12,7259386310,300
8,2489,A,"C13208 (Battle), C13224 (Battle)",2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,25539204755,24850913860,4.60028E+12,12859854099,300
9,3189,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,24657955143,24654222829,2.92114E+11,3502842620,300
10,3060,A,,,,23924197749,23922417208,2.928E+11,4366948422,300
11,3594,A,"C13219 (Battle), C13209 (Battle)",2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,23294090829,23293694031,3.59633E+11,4036708634,300
12,1875,A,,,,23246259050,23071115594,3.20127E+12,9726647405,300
13,1903,A,,,,22733780547,22704852889,1.94854E+12,6771414162,300
14,1365,A,,,,22521275875,22379168679,3.02469E+12,9543546668,300
15,1394,A,"C13231 (Battle), C13246 (Battle)",2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,22479665896,22481564270,5.65505E+11,5971057846,300
16,2293,A,,,,21759964921,21737369190,1.78453E+12,6814033158,300
17,1344,A,,,,20876364023,20840923555,2.08413E+11,3007131392,300
18,1718,A,,,,20803499462,20698858761,2.45526E+12,7675374141,300
19,1052,A,C13210 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,20719288295,20688966088,2.61123E+11,4436106982,300
20,3212,A,,,,20570530416,20248078270,1.5658E+11,3641822176,300
21,2563,A,,,,20544848756,20450901270,2.076E+12,6225396895,300
22,2469,A,C13234 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,20393023386,20391920382,1.66442E+11,3845300810,300
23,2529,A,,,,20320246809,20320246809,1.77807E+11,3495183873,300
24,1473,A,,,,20281756512,20184672650,1.83799E+12,6745035751,300
25,2638,A,C13232 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,20244910928,20190983319,1.61749E+12,5961454642,300
26,3672,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,20161052258,19933013910,2.04541E+12,6562013650,300
27,2141,A,,,,19813721522,19813721522,1.87095E+11,3233072398,300
28,1606,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,19701974390,19577705455,2.89798E+12,8279396168,300
29,2728,A,,,,19346637152,19221605713,2.33367E+12,6758174426,300
30,2497,A,,,,19241927657,19241927657,1.73567E+11,3520600140,300
31,1786,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,18988069506,18909324596,1.41958E+12,6222477496,300
32,3639,A,,,,18903429728,18903429728,2.23674E+11,2735855376,300
33,2748,A,,,,18878258115,18662999629,1.37686E+12,5461515959,297
34,1316,A,,,,18840343210,18632115583,2.26316E+12,7631721280,297
35,3842,A,,,,18812072066,18399909899,1.258E+12,4447988145,300
36,2537,A,,,,18339311972,18314838395,1.5301E+11,2700864244,300
37,3274,A,,,,18291242832,17529213921,1.5534E+12,5568821696,300
38,2902,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,18260741801,18258072752,1.15789E+12,4597127029,300
39,1209,A,,,,18228732762,18223447221,3.78341E+11,4011815434,300
40,1649,A,,,,18207383774,18205006353,2.39762E+11,3385578166,300
41,2925,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,18205570440,18174330017,9.29994E+11,4601900416,300
42,3517,A,,,,18190391878,18155354502,1.32182E+12,4737674414,300
43,2387,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,18160402990,18149336432,9.80966E+11,4688781952,300
44,1015,A,,,,18106442464,18106424267,1.39792E+11,2888117073,300
45,3908,A,,,,18008117112,17760918130,3.20851E+11,1092761356,300
46,3257,A,,,,17904158998,17804012554,1.28117E+12,6116416826,300
47,1105,A,,,,17807584719,17807395896,88465120433,2548216910,300
48,1003,A,C13239 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,17730949357,17730949357,1.33216E+11,3347341332,300
49,2382,A,,,,17655975559,17655975559,1.9538E+11,3404616574,300
50,1818,A,,,,17312588172,17287668719,8.8261E+11,4485180509,300
51,3526,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,17290658390,17266923013,8.98392E+11,3909531576,300
52,1761,A,,,,17277566367,17251125488,1.0597E+12,4349888471,300
53,2905,A,C13227 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,17205311979,17205311979,2.6876E+11,3480193417,300
54,2983,A,,,,16971806842,16371719791,1.2732E+12,5312297779,300
55,1568,A,,,,16896835375,16874822395,1.14196E+12,5155247126,300
56,1879,A,,,,16895710453,16879015135,1.54453E+12,5626224550,300
57,1271,A,,,,16875644523,16875644523,1.26304E+11,3100619956,300
58,2403,A,,,,16750959785,16750959785,1.85359E+11,2765999054,299
59,3793,A,,,,16710715554,16439616210,1.0644E+12,3584823344,300
60,3418,A,,,,16682777339,16682777339,1.13507E+11,2536137318,300
61,1404,A,,,,16680683784,16533854578,1.97018E+11,2517791140,292
62,3500,A,,,,16651631964,16632620418,9.99796E+11,4246430974,300
63,2243,A,,,,16636565572,16630814499,1.16741E+11,2119733181,300
64,1631,A,,,,16584057485,16584057485,2.74711E+11,3061805464,300
65,2341,A,,,,16493532709,16493532709,1.60592E+11,2533456067,300
66,1126,A,,,,16425683512,16425683512,1.74474E+11,3052574922,300
67,1824,A,C13232 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,16379196588,16365824482,8.488E+11,4311818632,300
68,3299,A,,,,16311407192,16311407192,1.77469E+11,2405591888,300
69,2804,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,16304636876,16293965270,8.66846E+11,4085328086,300
70,1816,A,,,,16184942691,16143047598,91677618557,1748958129,300
71,2914,A,,,,16183828752,15771081134,9.0578E+11,3436705907,264
72,3608,A,,,,16113972728,16113972728,1.32893E+11,1805540216,300
73,1076,A,,,,16111886439,16107590877,1.49055E+11,2537506086,290
