#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points
28,206232713,codoraa,Earth,3874,40048076,-300677,10308031,998376,0,781534,0,75214,15716514,60.16,100,,,
30,206874990,Martinzzyoung,Earth,3874,13035940,-4067414,1912677,179102,0,925839,0,0,14603993,10.33,100,,,
72,180176619,IㄴHaoHaoArcㄱI,Earth,3874,76031370,461470,17987419,828462,475608,27007,0,184799,8475033,424.62,100,,,
109,203958797,M1nDy,Earth,3874,31701433,220149,6814190,667410,2621,171663,0,193420,5270795,93.32,100,,,
125,206846001,Sandro88,Earth,3874,13430285,-1661735,263740,3918,11228,283469,0,0,4379987,,100,,,
131,203814662,Iㄴ3MiềnㄱI,Earth,3874,62617539,601364,11141726,948443,0,24389,0,161541,4159607,299.62,100,,,
137,200044676,乂BelMod 乂SP,Earth,3874,82558817,40190,9894631,656220,96444,19405,0,20909,3880395,,100,,,
141,203589186,f0ckYa,Earth,3874,72109547,299340,9526563,952554,0,0,0,44682,3810216,,100,,,
152,159444278,IㄴHaoHaoCavㄱI,Earth,3874,72122403,-3176,8243859,289901,204080,17696,0,256855,3465844,150.13,100,,,
156,200947465,Krozen Shop,Earth,3874,48953366,720252,9938554,805473,19317,1,0,210457,3415077,236.12,100,,,
181,177104966,JudyF2P,Earth,3874,61423181,782240,3688682,327505,20335,73838,0,188925,2620940,70.19,100,,,
189,203588604,Bank ᴷᴹ,Earth,3874,56665704,685204,6061277,606000,0,0,0,79004,2424000,383.61,100,,,
190,203516090,IㄴBlazeㄱI,Earth,3874,49316904,778937,6060631,604719,0,0,0,90528,2418876,334.74,100,,,
192,206825047,fafa696969 69,Earth,3874,31147061,64370,407300,0,20365,146519,0,352826,2401435,4.08,100,,,
212,206865918,Правитель206865918,Earth,3874,21109774,85806,187320,0,9366,128957,0,238351,2028015,,100,,,
237,46948695,Toma X Kumo,Earth,3874,94730169,1151656,3204720,36928,141772,0,0,478171,1565432,33.51,100,,,
243,204778977,Nhun ko Suy,Earth,3874,55746121,855002,2779896,327,138805,2387,0,183801,1425163,74.65,100,,,
250,201992048,IㄴRimㄱI,Earth,3874,53238293,1727595,3263170,326317,0,0,0,116754,1305268,139.75,100,,,
273,203694366,IㄴHaoHaoG2ㄱI,Earth,3874,31166171,73096,3316758,204213,0,17464,0,5500,1078812,,100,,,
283,206271540,Toma Ánh Cute,Earth,3874,37548582,466890,4030290,183283,25247,4011,0,132952,1045767,147.13,100,,,
296,207544320,Mr bizzzzzzzzzz,Earth,3874,38454921,340959,3136629,240630,0,0,0,35750,962520,,100,,,
305,204556061,IㄴAmyㄱI,Earth,3874,34743403,1126974,1451415,109818,15038,20900,0,375000,903152,18.33,100,,,
403,200397825,么 Lee DH 么,Earth,3874,55625507,889200,1025030,23563,39470,0,0,170299,488952,30.1,100,,,
447,202219313,Jollibe乄Jay,Earth,3874,71781266,461690,791500,0,39575,0,0,196010,395750,20.19,100,,,
450,203691044,ˢʷMaria,Earth,3874,53739682,972713,933490,74729,9310,0,0,256797,392016,18.18,100,,,
471,203534345,裴玉刚,Earth,3874,70390642,1181100,723570,11205,30576,0,0,403159,350580,8.97,100,,,
477,203514532,ftun Pᵀᵀ,Earth,3874,56200312,558700,743580,26294,24032,0,0,128912,345496,28.84,100,,,
478,206427543,37 zô zô,Earth,3874,31306950,-1009985,1035988,73838,0,2445,0,0,332027,,100,,,
484,205599398,Toma San,Earth,3874,68064795,1034520,643380,0,32169,0,0,413110,321690,7.79,100,,,
487,204677237,明芳Mochi,Earth,3874,62860820,282800,641880,0,32094,0,0,111667,320940,28.74,100,,,
491,202018274,нoai ᴀɴн,Earth,3874,38948943,802683,791190,79119,0,0,0,369351,316476,10.71,100,,,
498,203889281,Iㄴ忍 TuấnㄱI,Earth,3874,56778922,1229761,620690,2683,29693,0,0,117385,307662,26.44,100,,,
525,206879063,Правитель206879063,Earth,3874,16695624,456413,665692,65837,0,0,0,447890,263348,7.43,100,,,
537,206389708,BOO BOO,Earth,3874,46347451,600269,493120,0,24656,0,0,101997,246560,24.17,100,,,
563,203524259,ᅟ  ᅟᅠᅟᅟ  ᅟᅠᅟᅟ,Earth,3874,45527883,598986,529150,52915,0,0,0,177738,211660,14.89,100,,,
572,203655821,PoliceKingland,Earth,3874,62030284,1550163,399640,0,19982,0,0,210971,199820,9.47,100,,,
580,202952758,BaBy Monster,Earth,3874,49535029,246100,383240,0,19162,0,0,94357,191620,20.31,100,,,
609,204297427,Mr hị hị,Earth,3874,58773897,1543563,323880,0,16194,0,0,212351,161940,7.63,100,,,
613,201966928,ᵛⁿ Bread,Earth,3874,56055151,1227348,402490,40249,0,0,0,169167,160996,11.9,100,,,
627,180667195,IㄴHaoHaoFㄱI,Earth,3874,63724564,581630,291820,0,14591,0,0,708759,145910,,100,,,
632,206844147,king Mahfoudh,Earth,3874,30723729,1790151,284200,0,14210,0,0,550089,142100,,100,,,
642,204260833,CinderTM,Earth,3874,38424144,557726,341471,34147,0,0,0,113149,136588,15.09,100,,,
663,203518044,Iㄴtuấnㄱ,Earth,3874,58874800,1123138,239720,0,11986,0,0,77370,119860,,100,,,
677,203715460,BANK  KD3874,Earth,3874,24623374,-128815,256700,18550,3560,0,0,742594,109800,,100,,,
678,204678686,Windy x F2P,Earth,3874,41949511,340981,273720,27372,0,0,0,60883,109488,,100,,,
692,199823292,ᴰᶻBaRrOn,Earth,3874,64405560,205098,251420,25142,0,0,0,13207,100568,,100,,,
705,203618980,KEN V ᴠɴᴇム,Earth,3874,44860991,653766,238960,23896,0,0,0,150422,95584,,100,,,
715,203513942,Dũng BB,Earth,3874,66109989,1357510,174880,0,8744,0,0,342716,87440,,100,,,
721,203589793,來 HAERT ぷ,Earth,3874,35197329,475712,167840,0,8392,0,0,672931,83920,,100,,,
725,202400638,IㄴRimF99ㄱI,Earth,3874,39703022,-829714,206310,20631,0,0,0,68109,82524,,100,,,
731,203690485,Ąnh Hí 사,Earth,3874,46401598,633808,200000,20000,0,0,0,37595,80000,,100,,,
748,202481607,Baby BùmChíu,Earth,3874,38274918,566433,183340,18334,0,0,0,69139,73336,,100,,,
772,203872082,ᵛⁿʲYoukasn,Earth,3874,35286108,810783,152040,15204,0,0,0,159267,60816,,100,,,
782,206876731,米來,Earth,3874,27164522,251353,140674,14059,0,0,0,40360,56236,,100,,,
803,203849979,SuperBu3,Earth,3874,15823373,121600,89200,0,4460,0,0,92632,44600,,100,,,
819,206878220,ANH VĂN,Earth,3874,22539488,782411,1273922,7927,0,0,0,275319,31708,,100,,,
831,194431126,BowserFury,Earth,3874,15759878,-438368,53480,0,2674,0,0,0,26740,,100,,,
845,206819476,IVS millerovo,Earth,3874,18645282,364422,49280,4928,0,0,0,100570,19712,,100,,,
851,207038516,adrianlopez,Earth,3874,27646008,782388,41160,4116,0,0,0,117782,16464,,100,,,
856,206877136,Isaiah 54 14 f2,Earth,3874,29187474,139400,37900,3790,0,0,0,184292,15160,,100,,,
867,204730785,Nhungfammaf,Earth,3874,26200525,124929,23870,2387,0,0,0,1156,9548,,100,,,
882,206849203,Predator86,Earth,3874,25575300,128964,15720,1572,0,0,0,47640,6288,,100,,,
895,206180993,khoaicornToT,Earth,3874,16075019,26400,7080,0,354,0,0,0,3540,,100,,,
897,199823161,Zx01,Earth,3874,18312322,39300,8620,862,0,0,0,65587,3448,,100,,,
900,206755658,Scrudg,Earth,3874,38143190,499246,7730,773,0,0,0,69584,3092,,100,,,
909,203669089,AnhHí farm,Earth,3874,16454851,18120,4180,418,0,0,0,11730,1672,,100,,,
913,203603348,Hiro orio,Earth,3874,36346823,419693,3505,349,0,0,0,17491,1396,,100,,,
931,206468450,HongNgoc,Earth,3874,23137181,143204,1282,128,0,0,0,53132,512,,100,,,
933,199823338,Bi mom,Earth,3874,13611020,35085,900,90,0,0,0,34698,360,,100,,,
974,201986990,ThanhLayf3,Earth,3874,22962089,13157,0,0,0,0,0,0,0,,100,,,
976,202607792,㋡faraon69㋡,Earth,3874,33047409,264166,0,0,0,0,0,91081,0,,100,,,
994,201386770,ᴳᶻSzymi,Earth,3874,26244231,165200,0,0,0,0,0,0,0,,100,,,
1007,204308759,Tuấn fam3,Earth,3874,30433767,255543,0,0,0,0,0,84,0,,100,,,
1010,197308460,Iㄴ皇丫hsuㄱI,Earth,3874,50630058,365660,0,0,0,0,0,16906,0,,100,,,
1015,203741498,SuperBu1,Earth,3874,16099152,104000,0,0,0,0,0,0,0,,100,,,
1025,203664309,ˢʷHuyBoss,Earth,3874,32575051,0,0,0,0,0,0,0,0,,100,,,
1026,203891779,36th,Earth,3874,58370942,823076,0,0,0,0,0,89884,0,,100,,,
1054,206831785,땡이냥,Earth,3874,16534172,262228,0,0,0,0,0,2829,0,,100,,,
1055,206231284,Narusvn,Earth,3874,29892042,156479,0,0,0,0,0,0,0,,100,,,
1069,203746249,冷血NAMIKAZE,Earth,3874,49123783,769472,0,0,0,0,0,28706,0,,100,,,
1075,203887318,Huy Bank,Earth,3874,17326673,0,0,0,0,0,0,0,0,,100,,,
1084,206827053,ᵛᶰviệtnam,Earth,3874,20597799,0,0,0,0,0,0,0,0,,100,,,
1094,198094941,Kelly Thành,Earth,3874,65052033,619930,0,0,0,0,0,99076,0,,100,,,
1101,206330658,PocArm,Earth,3874,17611073,0,0,0,0,0,0,0,0,,100,,,
1116,199063609,Đình Dũng,Earth,3874,86191420,417140,28548,0,0,0,0,88942,0,,100,,,
1139,206853684,BOGDARES,Earth,3874,17818336,108900,0,0,0,0,0,0,0,,100,,,
1158,203609432,Testtest1,Earth,3874,15448181,108800,0,0,0,0,0,0,0,,100,,,
1163,204663537,MinhBacNing,Earth,3874,41223065,290771,0,0,0,0,0,7720,0,,100,,,
1176,206026762,ᵂᶠMezaaa,Earth,3874,28700421,0,0,0,0,0,0,0,0,,100,,,
1205,205448333,VENOM GOLD,Earth,3874,30081329,337845,0,0,0,0,0,3908,0,,100,,,
1220,205256388,メShinVIPᴬᴱメ,Earth,3874,34817308,340550,0,0,0,0,0,66990,0,,100,,,
1233,204557235,メglitchᴬᴱ,Earth,3874,65318434,733530,0,0,0,0,0,38634,0,,100,,,
1234,207837830,fafa696969 farm,Earth,3874,21144776,1458111,0,0,0,0,0,278591,0,,100,,,
1237,206820169,EL ConQuistador,Earth,3874,14477576,0,0,0,0,0,0,0,0,,100,,,
1284,206882745,شدد,Earth,3874,20877705,450688,0,0,0,0,0,1773,0,,100,,,
1287,207207321,ÐraVaN 2to2,Earth,3874,12808077,0,0,0,0,0,0,0,0,,100,,,
1292,203588862,乂CKヅᵀᴴ,Earth,3874,68211709,1087842,0,0,0,0,0,53134,0,,100,,,
1295,206472609,ᴰᴴ Kent,Earth,3874,26084530,0,0,0,0,0,0,0,0,,100,,,
