Fighter Rank,Governor ID,Name,Power,Troop Power,Deads,KP,T4 Kills,T5 Kills,DKP,Performance Score,DKP / 1M Power,T4+T5 / 1M Power,Deads / 1M Power,Fighter Index,Classification
196,210006467,sSnoopy,24.14M,1.85M,0,45.4K,4.5K,0,22.7K,20.2,941,188,0,20.67,Power-only
197,209509609,Ryyysiek,30.13M,4.75M,0,23.2K,2.3K,0,11.6K,19.84,385,77,0,20.3,Power-only
198,210435381,Supper Saiyan,26.50M,2.93M,0,4.9K,472,7,2.5K,20.67,93,18,0,20.22,Power-only
199,207181368,24 X҉    Xuka,22.46M,5.52M,0,16.7K,1.7K,0,8.4K,19.51,372,74,0,19.94,Power-only
200,206974141,ᴳᴴKaiO,30.53M,4.66M,0,1.5K,153,0,765,18.87,25,5,0,19.37,Power-only
201,209294221,24X҉AlphaWolf,49.75M,2.47M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
202,209502334,24 X҉WilliamQ8,45.57M,6.27M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
203,209607393,柱 VeNdDeTtA,41.04M,7.63M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
204,209619554,ᴹᴰDoC OcK,40.98M,448.1K,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
205,209905081,24X҉  TolganaC,40.54M,2.34M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
206,208622212,Ulvsbane,35.35M,2.80M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
207,206949917,marious1990,34.66M,1.58M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
208,209531678,Crisssss,34.43M,4.96M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
209,210254146,Алекс 2909,32.95M,5.06M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
210,209620976,SUPERMANx,31.99M,6.47M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
211,208294913,inactiv3,31.60M,278.1K,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
212,209482763,Éléna,30.63M,1.83M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
213,210272139,Inf1n1ty,30.62M,3.94M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
214,209926937,우라차차,29.76M,4.97M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
215,210210393,Zhâk,29.42M,6.79M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
216,209924348,24 X҉ Fuzjaaa,29.15M,2.94M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
217,210876904,Slim 15,28.91M,6.21M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
218,209837031,24 X҉  ЫЫЫ,28.02M,4.81M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
219,208850800,24 X҉ 도주이득,27.87M,2.42M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
220,210313245,24 X҉ ヅÖrökヅ,27.75M,2.07M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
221,208313590,Jack メ Mengocok,27.54M,37.3K,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
222,210376950,NightStarr,26.56M,5.68M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
223,208756315,24 X҉  A Phàm,25.58M,448.6K,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
224,211557716,ᴰᴾCyanide,25.56M,4.38M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
225,210443073,DMAферма,25.55M,2.49M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
226,209829051,24 X҉ Hexxy,25.21M,3.70M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
227,210428942,Solo is Here,24.92M,1.26M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
228,209172663,Bec City,24.47M,3.85M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
229,208558087,24 X҉ Alie,24.33M,26.8K,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
230,208183840,Third Option,24.12M,2.12M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
231,210330736,Charli300,23.65M,1.21M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
232,209112837,ᶲAKa Rùa,23.52M,4.86M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
233,210584534,Lamponi,23.42M,2.77M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
234,210252173,Eren kaya 06,23.29M,2.23M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
235,210374164,HighLord Grimm,23.29M,4.60M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
236,207540269,Furia Negra,23.13M,3.35M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
237,210234353,AK Optimuss,23.01M,1.19M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
238,210372206,BatesS,22.66M,3.94M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
239,208164511,ᴿᵂIndigo,22.26M,689.8K,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
240,209899711,Ninnitt,21.91M,2.86M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
241,210370357,thegoathimself,21.87M,4.28M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
242,210377454,EeveePrincess5,21.29M,3.56M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
243,210398747,ÐarkKnight,20.83M,4.00M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
244,210432676,24 X҉  Qhà,20.69M,2.97M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
245,210378553,DEMETR,20.56M,3.36M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
246,202699449,Spartacus Farm1,20.24M,3.53M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
247,210086913,はるのもぐら,20.03M,4.72M,0,0,0,0,0,11.07,0,0,0,10.59,Power-only
