#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points
2,203078534,DARK SEA,Water,3875,65861656,551864,870564505,31924756,27453507,1588863,11100566,32071730,426067039,129.32,100,,,
9,206397294,ᴰʷCOLAIG,Water,3875,71162004,-6226118,601024075,19081984,20504167,1079773,8528272,32767692,297566201,88.78,100,,,
13,200944291,ᴰʷ Bai Ji,Water,3875,74316882,4031611,533312097,26227186,13237603,1018964,5929325,15538549,252569234,161.05,100,,,
14,203737388,Sɪsʏᴘʜᴜs,Water,3875,64549290,1345066,532631124,27953324,12588269,487050,6213958,18818802,245001736,137.95,100,,,
16,203312279,ᴰʷ BéCưng,Water,3875,59536317,2768603,498797925,22233354,13651349,380510,6384189,29577932,231154556,83.25,100,,,
39,204484509,ᴰʷ warrior,Water,3875,41122475,1001249,296769545,12909731,8267552,537077,3825849,23582085,142370599,61.52,100,,,
50,203672189,Angry Đô Đô,Water,3875,51696770,166946,228498456,9941701,6430771,584459,2837123,20186302,112841399,55,100,,,
52,202197915,ᴰʷ Zenith,Water,3875,52877990,-2010132,220037950,9207100,6383402,667098,2898456,9019325,110668890,113.58,100,,,
55,197851250,ᴰʷpapanyajen,Water,3875,62837660,1292391,214596251,8801661,6269301,517020,2670538,7076896,105654954,141.29,100,,,
62,206576139,ᴰʷBillybot,Water,3875,61579602,12643889,196187094,7788876,5913850,261331,2568636,8490846,94213969,112.08,100,,,
63,205144403,ᴳᵛSóc,Water,3875,55749143,12407523,161228663,4869481,5625894,1227742,2404628,13055231,94152994,56.44,100,,,
71,204111126,ᴶAirs,Water,3875,36770575,115460,193825913,9860126,4586588,236691,2076970,25526880,88856749,37.62,100,,,
79,204493133,ᴰʷ Pea,Water,3875,51693803,9818260,160295458,6702905,4414515,831136,2207775,29023476,83423810,26.85,100,,,
93,206398456,ᴰʷQuậyNè,Water,3875,31816207,1231373,122083533,4774215,3495644,1377642,1752080,41309131,74717930,14.3,100,,,
94,203812902,83x҉ Darkiツ,Water,3875,70808679,3411346,159737731,9004900,3483766,193930,1604509,7228155,73766210,107.61,100,,,
106,206311987,ᴰʷ Bin,Water,3875,35620543,-54761,95105293,5674234,1892827,1818290,1602317,14392510,68899556,29.33,100,,,
107,204202798,ʙs ZEN,Water,3875,37127860,1243220,136926712,5838144,3924968,394862,1788720,10515136,68525186,62.75,100,,,
109,203665210,DiKeynecon,Water,3875,66388181,17296705,139810193,7408140,3111733,476417,2068508,22434586,67896145,30.51,100,,,
112,205919910,ᴰʷKARATEL,Water,3875,52448352,7156275,138095912,8226200,2751472,264691,1738838,6064566,64389885,109.09,100,,,
116,206311996,ᴰʷ Châu,Water,3875,36731305,-1628901,115815743,9240477,1053606,1054621,776155,5207122,63317283,92.48,100,,,
118,205744508,ᴳᵛ Leo,Water,3875,46329164,2310829,121197815,4822350,3441863,499598,1720665,21915050,61202000,27.04,100,,,
121,205726210,ᴳᵛTràChanh,Water,3875,39958861,-2882527,50351786,1495670,1769280,2452962,953187,6930098,60469910,26.83,100,,,
124,205895492,ᴰʷÚtkhờ,Water,3875,31308903,-1159393,84974543,2976570,2760167,1363994,1428051,11487430,59967860,33.06,100,,,
126,203083795,Broke ahh Thái,Water,3875,46732160,3873959,116708142,4057289,3784060,371976,1640651,18596759,59649396,30.76,100,,,
133,205644778,Tèo Chơi Rok,Water,3875,43069109,891625,109444173,2543145,4200245,434472,1569129,9388465,58692110,55.71,100,,,
137,206025244,ᴰʷMiniCat,Water,3875,30310021,-5427322,44421698,1671976,1384683,2432630,786852,6055938,57024184,26.17,100,,,
142,200704817,么 Hewwit  么,Water,3875,53618441,-25104866,21882540,508969,839099,2865365,785219,1268911,53407341,26.46,100,,,
144,204181344,ʙs Naan,Water,3875,54764427,9820470,97314660,4526935,2567368,495154,1342151,4979956,51208730,88.87,100,,,
152,199574737,ᴰʷ the king,Water,3875,59033998,-132732,96602021,2725786,3463758,183030,1703186,11009219,48286174,43.16,100,,,
