uid,name,pow,dkp,kvk3 kp,total kp,clan name
209905807,24X҉   Valetta,33128089,2230,5550,5459624.0,SL
209853749,24TùgGấu,33121807,2720250,5735740,114631722.0,SL
210269837,まくぷ,33079911,12620540,19160012,40101788.0,SL
208196720,ᴿᵂGNV,32929974,12229080,3648690,25855686.0,AL
209043926,TOMBOYY,32864786,14483105,19733136,63780983.0,SL
209907877,24X҉Ken,32767259,2387181,3501880,,
210417562,24 X҉   Redbud,32755235,20306529,28373278,40113835.0,AL
209016436,メB L E S S,32741255,6654692,8920450,50931566.0,AL
209321704,HOTBEAST,32707345,10003344,24226023,39605062.0,LW
208198024,ᴿᵂMaegun,32564111,9721278,10040083,60816250.0,AL
210300701,Gund,32446232,4769423,10385014,36860438.0,AL
207434370,ᴾᴵTorenzik,32443433,23394633,2809512,84116283.0,ADRL
210233153,ᴿᶠMixey911,32437769,10273977,11243680,50898061.0,SL
209862206,MCDragoon,32417825,12096932,23005227,63384661.0,AL
207270931,guardboy,32413965,21358175,36002497,143770483.0,SL
210432369,Lệnh Hồ 55,32367131,4724021,7102946,16309658.0,LW
209367117,ᴱᶻIvanRR,32358967,11028233,10478766,21384783.0,SL
209814285,空Tuấn空,32268744,19331276,35482773,88008833.0,SL
208973298,24 X҉ AndiUmar,31967029,2465898,3894190,43047159.0,SL
208179191,ᴿw dumbywumby,31953404,22264739,49144939,135632765.0,SL
208189568,ᴿᵂMelMel,31851013,6504642,16649627,59505240.0,AL
208718417,TheinOo,31788590,13489345,22975171,52498238.0,SL
208195504,ᴿᵂ Zytue,31740194,2491727,3114371,23169285.0,SL
209645960,24 X҉ RITSARD,31729616,34396532,71389595,141029044.0,SL
210101700,Jinozz,31680691,531358,1177740,34913955.0,SL
209803084,xAgresif,31619700,388918,942540,65620208.0,AL
209817323,ᴰᴷZORO GPS,31615414,6721207,14509030,41374916.0,AL
209527597,24 X҉ Klee,31609041,21219765,37755549,144882217.0,SL
207256493,ᶫExquerred,31547913,535892,1260350,,
207663213,ᴿᵂ TRUMPED,31388608,31914269,4954860,,
207280922,ᴮᴺPemudA,31379166,11345854,10783491,62152311.0,AL
209944070,24X҉  PaTRoN46,31314109,20446942,2132046,,
207037071,ᴳᵛChocolate,31271526,689034,1172110,59471901.0,SL
210254146,Алекс 2909,31259705,14683793,8302920,29268393.0,SL
210517889,babyb0y,31250232,31971781,57249799,151727875.0,SL
209393079,ᴿᵂ Shakkah,31190934,3012219,5467834,19726076.0,AL
