Rank,Kingdom,Group,KvK,KvK Start,KvK End,Power,Power Capped,KP,Dead,CH25
1,4010,A,S11456 (Battle),2026-07-05T00:00:00.000Z,2026-09-01T00:00:00.000Z,13696745435,13653378334,69433002557,312372254,300
2,3993,A,S11450 (Battle),2026-06-07T00:00:00.000Z,2026-08-04T00:00:00.000Z,12680257016,12654705594,79252763847,403894128,300
3,4017,A,S11456 (Battle),2026-07-05T00:00:00.000Z,2026-09-01T00:00:00.000Z,12397360757,12381759229,50315272753,247212927,300
4,4012,A,S11456 (Battle),2026-07-05T00:00:00.000Z,2026-09-01T00:00:00.000Z,12337594012,12335120372,63336907076,356596713,300
5,4030,A,S11460 (Preparation),2026-07-19T00:00:00.000Z,2026-09-15T00:00:00.000Z,12203007926,12203005311,82867841913,346198561,300
6,3933,A,S31271 (Battle),2026-07-02T00:00:00.000Z,2026-08-30T00:00:00.000Z,11740645545,11778327607,46455145722,437734322,300
7,3937,A,S31271 (Battle),2026-07-02T00:00:00.000Z,2026-08-30T00:00:00.000Z,11546912210,11584890751,72968702024,516159154,299
8,3929,A,S31271 (Battle),2026-07-02T00:00:00.000Z,2026-08-30T00:00:00.000Z,11355986203,11355986203,1.05854E+11,617881341,289
9,4039,A,S11460 (Preparation),2026-07-19T00:00:00.000Z,2026-09-15T00:00:00.000Z,11292175634,11257756603,52604671037,243991152,300
10,4028,A,S11460 (Preparation),2026-07-19T00:00:00.000Z,2026-09-15T00:00:00.000Z,11180120025,11180120025,67964182107,213814937,300
11,3966,A,,,,11165258245,10819734818,70220867521,541130356,300
12,3946,A,S31271 (Battle),2026-07-02T00:00:00.000Z,2026-08-30T00:00:00.000Z,11128975197,11112250867,96862225218,601421394,290
13,3965,A,,,,11065338575,11057874772,83419776093,584190304,299
14,3935,A,S31271 (Battle),2026-07-02T00:00:00.000Z,2026-08-30T00:00:00.000Z,10892793359,10880493642,72040292077,572945313,271
15,3982,A,S11446 (Immigration),2026-05-24T00:00:00.000Z,2026-07-21T00:00:00.000Z,10832474142,10832474142,42866093499,276500132,300
16,3949,A,S31271 (Battle),2026-07-02T00:00:00.000Z,2026-08-30T00:00:00.000Z,10808187739,10798182216,65712768173,502803641,289
17,3931,A,S31271 (Battle),2026-07-02T00:00:00.000Z,2026-08-30T00:00:00.000Z,10776514498,10776514498,59988118849,537912584,286
18,3990,A,S11446 (Immigration),2026-05-24T00:00:00.000Z,2026-07-21T00:00:00.000Z,10635734290,10635734290,66946923580,407194641,297
19,3961,A,,,,10586547915,10102095999,53110305396,543698867,300
20,3997,A,S11450 (Battle),2026-06-07T00:00:00.000Z,2026-08-04T00:00:00.000Z,10222226042,10222226042,36501960221,293781646,300
21,3970,A,,,,10220309583,9911828259,99216418415,474839173,252
22,3962,A,,,,10138027951,10136364277,1.11507E+11,609179226,262
23,3976,A,,,,9793065233,9691208866,30993621762,292632796,299
24,3986,A,S11446 (Immigration),2026-05-24T00:00:00.000Z,2026-07-21T00:00:00.000Z,9752717829,9578365602,47219242845,351976310,292
25,3973,A,,,,9740180935,9389175411,25936693665,295379973,299
26,4047,A,,,,9565036938,9560381018,31685021928,153963546,297
27,4026,A,S11460 (Preparation),2026-07-19T00:00:00.000Z,2026-09-15T00:00:00.000Z,9510656414,9510656414,25485823996,228379290,300
28,3974,A,,,,9471151538,9471151538,34377316649,343933775,289
29,3943,A,S31272 (Battle),2026-07-02T00:00:00.000Z,2026-08-30T00:00:00.000Z,9467522619,9467522619,15422010339,323397230,291
30,3979,A,S11446 (Immigration),2026-05-24T00:00:00.000Z,2026-07-21T00:00:00.000Z,9447960816,9447960816,72442009959,425754014,283
31,4013,A,S11456 (Battle),2026-07-05T00:00:00.000Z,2026-09-01T00:00:00.000Z,9342485538,9332847951,26335400748,192289606,298
32,4001,A,S11450 (Battle),2026-06-07T00:00:00.000Z,2026-08-04T00:00:00.000Z,9326431209,9326431209,54613106489,355201764,293
33,3972,A,,,,9312091937,9312091937,33360883830,347852002,260
34,3963,A,,,,9311949475,9311949475,45772675585,408860575,277
35,3964,A,,,,9309020328,9309020328,33494949177,367563240,288
36,4034,A,S11460 (Preparation),2026-07-19T00:00:00.000Z,2026-09-15T00:00:00.000Z,9277123613,9277123613,26821890683,186296914,300
