Rank,Kingdom,Group,KvK,KvK Start,KvK End,Power,Power Capped,KP,Dead,CH25
386,2284,A,C13213 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10645775223,7111576234,2.12649E+11,1107447092,275
387,1633,A,,,,10644728031,10644728031,2.05097E+11,1978958553,228
388,3279,A,,,,10643582826,10639523117,2.66612E+11,2104780368,243
389,3434,A,,,,10631854297,9001365761,1.04653E+11,1282638553,203
390,1784,A,C13243 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10614158913,6468190984,92447005655,929970822,176
391,3356,A,C13196 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10598993160,10598993160,85184620534,1634831342,239
392,3844,A,,,,10593019207,10593019207,56966513511,716042948,300
393,3043,A,C13200 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10585857514,10585857514,1.76308E+11,1680157474,208
394,3703,A,,,,10564089642,10564089642,46595253193,903960987,273
395,2943,A,C13218 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10541526515,9475614660,1.22561E+11,1683157112,194
396,3160,A,,,,10539136460,10539136460,1.81498E+11,1916502296,199
397,1758,A,,,,10537968583,10537968583,1.72533E+11,2220620190,209
398,3314,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10536194782,10526241953,5.73133E+11,2706508825,213
399,3151,A,,,,10535847258,10535847258,1.82882E+11,2012331475,231
400,1972,A,,,,10532010129,10532010129,88350916797,1642322458,235
401,2721,A,C13235 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10502121307,10499135653,4.13727E+11,2458460729,239
402,1819,A,,,,10494749500,4096163169,2.68042E+11,847037036,186
403,1657,A,C13201 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10493773524,8702174261,2.82456E+11,2143072791,187
404,3000,A,C13198 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10488262608,8767212257,1.2827E+11,1450912619,225
405,1046,A,C13185 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10484419096,10484419096,1.81094E+11,1967222237,211
406,3397,A,C13201 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10484150594,7741541141,3.54846E+11,1879861762,183
407,2298,A,,,,10482986359,10482986359,3.64404E+11,2239295599,283
408,1216,A,,,,10481909925,10481909925,3.92446E+11,2254911729,283
409,2841,A,,,,10477969022,10477969022,2.03862E+11,1879517727,237
410,2519,A,C13246 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10472149349,10472149349,1.18349E+11,1807885299,199
411,2313,A,C13212 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10452434884,10270667006,3.6203E+11,2195425426,279
412,3513,A,,,,10443983261,9675554380,80916418887,1466219510,245
413,2277,A,C13212 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10443407417,10443407417,2.7358E+11,2404074317,215
414,2833,A,,,,10442370567,10439803487,3.58807E+11,2280131879,221
415,1012,A,C13185 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10432839584,10430145857,2.4768E+11,2044680146,272
416,1586,A,,,,10423478816,10423338304,2.84419E+11,2578766373,190
417,2057,A,,,,10420145328,10420145328,1.27971E+11,2014127240,188
418,2011,A,,,,10415990181,10413029625,3.31936E+11,2554854339,197
419,2338,A,,,,10414356360,10365229801,7.50745E+11,2470454549,212
420,3090,A,,,,10411745087,10411745087,1.05059E+11,1570050107,250
421,1977,A,C13187 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10410078644,10410078644,1.15976E+11,1683267527,192
422,3712,A,,,,10398364893,10398364893,1.26329E+11,1253831233,232
423,3737,A,C13233 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10393990628,10391668827,1.94691E+11,1484560189,249
424,2138,A,,,,10384390322,8959840689,2.26028E+11,1605999333,187
425,2720,A,,,,10381091258,10381091258,74204847094,1357668239,200
426,2234,A,,,,10379965440,10379965440,63222876789,1770652333,196
427,2814,A,C13202 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10374496078,10175770392,3.90489E+11,2430298175,282
428,1623,A,,,,10367090733,10367090733,1.46749E+11,2271061395,183
429,2066,A,,,,10363488203,10352152637,96746811530,1664002637,165
430,2951,A,,,,10353949305,8054570098,3.23234E+11,1522005740,205
431,2961,A,,,,10351226651,10345181081,1.16753E+11,1557583468,211
432,3690,A,C13210 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10345893668,10317206900,3.47592E+11,1502518000,250
433,1259,A,C13244 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10345090117,10345090117,70482380661,1741881063,184
434,1226,A,,,,10343482621,10343482621,1.98324E+11,2094708072,210
435,1208,A,C13219 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10341276559,10341276559,1.01291E+11,1752856417,187
436,2607,A,,,,10336505111,10336505111,1.76579E+11,1929578529,218
437,2089,A,,,,10332207695,10331919185,1.96172E+11,1998828652,198
438,2827,A,,,,10325646051,9733754811,2.23048E+11,1800384015,230
439,2379,A,,,,10319938843,10319938843,1.23307E+11,1712249889,192
440,3225,A,C13194 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10292790957,10290336876,3.20341E+11,2170810635,300
441,2388,A,C13212 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10287230961,8754345062,2.3022E+11,1491573217,250
442,3313,A,C13184 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10279188956,10279188956,1.57609E+11,1823218080,283
443,3229,A,,,,10276146238,10276146238,1.85299E+11,1655861707,242
444,3348,A,,,,10272012323,10272012323,59325019724,1163373145,214
445,2053,A,,,,10271304106,10271304106,2.81177E+11,2349062038,214
446,3724,A,,,,10266735263,10251794878,2.56663E+11,1680899273,229
447,3496,A,,,,10265973162,8250624721,1.03319E+11,1235936600,174
448,2669,A,,,,10260181595,8601721220,1.89066E+11,1631598295,196
449,1912,A,,,,10258830392,10247984295,1.37451E+11,1823166346,189
450,1281,A,,,,10250498179,10246729706,4.94382E+11,2656864693,150
451,2612,A,,,,10234297100,10227553357,2.81267E+11,2025823368,300
452,3611,A,C13210 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10226816779,10226816779,2.34161E+11,1582108461,247
453,3658,A,C13202 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10215706431,8566192720,2.08521E+11,1521918046,197
454,1836,A,C13234 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10208284012,7169706315,2.88295E+11,1792108712,207
455,3649,A,C13213 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10207434846,8130631509,1.08918E+11,1000504803,204
456,1549,A,C13213 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10203700270,8776371610,2.74264E+11,2071160807,158
457,1213,A,C13230 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10202677275,10202677275,1.01039E+11,1617090645,217
458,1741,A,C13215 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10195366168,9324498504,1.4558E+11,1662990732,183
459,2724,A,,,,10195268816,10195268816,3.47901E+11,2199675035,221
460,2481,A,C13200 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,10179367798,10179367798,4.66253E+11,2522695826,252
461,3831,A,C13218 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,10175463243,7843857780,70216926714,628546442,281
462,1109,A,,,,10175329898,10175329898,3.93033E+11,2386706557,237
