Comparison,A Players >24M,B Players >24M,A Active >24M,B Active >24M,A Active %,B Active %,A Inactive >24M,B Inactive >24M,A KP >24M,B KP >24M,A Deaths >24M,B Deaths >24M,A DKP >24M,B DKP >24M,A T4 Kills >24M,B T4 Kills >24M,A T5 Kills >24M,B T5 Kills >24M,A KP/Death,B KP/Death
Fire vs Water,775,741,572,511,73.81,68.96,203,230,14357522041,15958693604,104637208,91343004,10241647985,10591890230,612619118,887194831,408812021,349499069,137.21,174.71
Earth vs Wind,747,778,570,525,76.31,67.48,177,253,13063491030,14690569851,87680025,101472441,8879342365,9829479255,698285063,845459901,300741120,305830356,148.99,144.77
